name	human	chimpanzee	bonobo	description
NEGR1	1	1	1	neuronal growth regulator 1
LRRIQ3	4	1	1	leucine rich repeats and IQ motif containing 3
FPGT-TNNI3K	1	0	0	FPGT-TNNI3K readthrough
FPGT	1	0	0	fucose-1-phosphate guanylyltransferase
TNNI3K	1	1	0	TNNI3 interacting kinase
LRRC53	1	1	1	leucine rich repeat containing 53
CRYZ	1	1	0	crystallin zeta
SLC44A5	1	1	1	solute carrier family 44 member 5
MSH4	1	1	0	mutS homolog 4
ASB17	1	1	0	ankyrin repeat and SOCS box containing 17
ST6GALNAC3	1	1	0	ST6 N-acetylgalactosaminide alpha-2%2C6-sialyltransferase 3
ST6GALNAC5	1	1	1	ST6 N-acetylgalactosaminide alpha-2%2C6-sialyltransferase 5
PIGK	1	1	1	phosphatidylinositol glycan anchor biosynthesis class K
AK5	1	1	1	adenylate kinase 5
MIGA1	1	1	1	mitoguardin 1
GIPC2	1	1	0	GIPC PDZ domain containing family member 2
PTGFR	1	1	0	prostaglandin F receptor
IFI44L	1	1	0	interferon induced protein 44 like
IFI44	1	0	0	interferon induced protein 44
ADGRL4	1	0	0	adhesion G protein-coupled receptor L4
ADGRL2	1	1	1	adhesion G protein-coupled receptor L2
TTLL7	1	1	0	tubulin tyrosine ligase like 7
PRKACB	1	1	0	protein kinase cAMP-activated catalytic subunit beta
SPATA1	1	0	0	spermatogenesis associated 1
CTBS	1	0	0	chitobiase
LPAR3	1	0	1	lysophosphatidic acid receptor 3
BCL10	1	0	0	BCL10 immune signaling adaptor
DDAH1	1	1	0	dimethylarginine dimethylaminohydrolase 1
ZNHIT6	1	0	0	zinc finger HIT-type containing 6
COL24A1	1	1	1	collagen type XXIV alpha 1 chain
ODF2L	1	1	0	outer dense fiber of sperm tails 2 like
CLCA1	1	0	0	chloride channel accessory 1
SELENOF	1	1	0	selenoprotein F
HS2ST1	1	1	1	heparan sulfate 2-O-sulfotransferase 1
PKN2	1	1	1	protein kinase N2
KYAT3	1	0	0	kynurenine aminotransferase 3
RBMXL1	1	0	0	RBMX like 1
GBP3	4	1	0	guanylate binding protein 3
GBP2	1	0	0	guanylate binding protein 2
GBP7	1	0	1	guanylate binding protein 7
GBP5	1	0	1	guanylate binding protein 5
LRRC8D	1	0	0	leucine rich repeat containing 8 VRAC subunit D
TGFBR3	1	1	1	transforming growth factor beta receptor 3
BRDT	1	1	1	bromodomain testis associated
BTBD8	1	0	1	BTB domain containing 8
C1orf146	1	0	0	chromosome 1 open reading frame 146
EVI5	1	1	1	ecotropic viral integration site 5
RPL5	1	0	0	ribosomal protein L5
DIPK1A	1	1	0	divergent protein kinase domain 1A
DR1	1	4	0	down-regulator of transcription 1
BCAR3	1	1	1	BCAR3 adaptor protein%2C NSP family member
DNTTIP2	1	0	0	deoxynucleotidyltransferase terminal interacting protein 2
ABCD3	1	1	0	ATP binding cassette subfamily D member 3
SLC44A3	1	0	0	solute carrier family 44 member 3
ALG14	1	1	0	ALG14 UDP-N-acetylglucosaminyltransferase subunit
TLCD4-RWDD3	1	0	0	TLCD4-RWDD3 readthrough
PTBP2	1	0	0	polypyrimidine tract binding protein 2
DPYD	1	1	1	dihydropyrimidine dehydrogenase
SNX7	1	1	1	sorting nexin 7
PLPPR5	1	1	1	phospholipid phosphatase related 5
FRRS1	1	0	1	ferric chelate reductase 1
AGL	1	1	0	amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase
SLC35A3	1	1	1	solute carrier family 35 member A3
SASS6	1	1	0	SAS-6 centriolar assembly protein
MFSD14A	1	1	0	major facilitator superfamily domain containing 14A
CDC14A	1	1	1	cell division cycle 14A
SLC30A7	1	0	0	solute carrier family 30 member 7
S1PR1	1	0	0	sphingosine-1-phosphate receptor 1
OLFM3	1	1	0	olfactomedin 3
AMY2A	4	0	0	amylase alpha 2A
AMY1A	4	0	0	amylase alpha 1A
AMY1B	4	0	0	amylase alpha 1B
LOC124905662	4	0	0	pancreatic alpha-amylase-like
LOC128966568	4	0	0	alpha-amylase 1B
LOC128966570	4	0	0	alpha-amylase 1B
LOC124905664	4	0	0	pancreatic alpha-amylase-like
LOC124905666	4	0	0	alpha-amylase 1B
LOC124905668	4	0	0	alpha-amylase 1B
AMY1C	4	0	0	amylase alpha 1C
NTNG1	1	1	1	netrin G1
VAV3	1	1	1	vav guanine nucleotide exchange factor 3
SLC25A24	1	1	0	solute carrier family 25 member 24
NBPF4	4	0	0	NBPF member 4
NBPF6	1	0	0	NBPF member 6
STXBP3	1	1	1	syntaxin binding protein 3
AKNAD1	4	1	0	AKNA domain containing 1
CLCC1	1	1	0	chloride channel CLIC like 1
GPSM2	1	1	0	G protein signaling modulator 2
WDR47	1	0	0	WD repeat domain 47
TAF13	1	4	0	TATA-box binding protein associated factor 13
CFAP276	4	0	0	cilia and flagella associated protein 276
ELAPOR1	1	1	1	endosome-lysosome associated apoptosis and autophagy regulator 1
CELSR2	1	0	0	cadherin EGF LAG seven-pass G-type receptor 2
MYBPHL	1	0	0	myosin binding protein H like
PSMA5	1	0	0	proteasome 20S subunit alpha 5
GSTM4	4	1	0	glutathione S-transferase mu 4
GSTM2	4	1	0	glutathione S-transferase mu 2
GSTM5	4	1	0	glutathione S-transferase mu 5
CSF1	1	0	0	colony stimulating factor 1
AHCYL1	1	0	0	adenosylhomocysteinase like 1
STRIP1	1	1	1	striatin interacting protein 1
ALX3	1	0	0	ALX homeobox 3
KCNC4	1	0	0	potassium voltage-gated channel subfamily C member 4
KCNA3	1	0	0	potassium voltage-gated channel subfamily A member 3
CHIA	1	0	0	chitinase acidic
CIMAP3	1	0	0	ciliary microtubule associated protein 3
ATP5PB	1	0	0	ATP synthase peripheral stalk-membrane subunit b
C1orf162	1	0	0	chromosome 1 open reading frame 162
TMIGD3	1	1	0	transmembrane and immunoglobulin domain containing 3
ADORA3	1	0	0	adenosine A3 receptor
RAP1A	1	0	1	RAP1A%2C member of RAS oncogene family
INKA2	1	0	0	inka box actin regulator 2
DDX20	1	0	0	DEAD-box helicase 20
KCND3	1	1	0	potassium voltage-gated channel subfamily D member 3
CTTNBP2NL	1	1	0	CTTNBP2 N-terminal like
WNT2B	1	1	0	Wnt family member 2B
CAPZA1	1	1	0	capping actin protein of muscle Z-line subunit alpha 1
LRIG2	1	0	0	leucine rich repeats and immunoglobulin like domains 2
MAGI3	1	1	1	membrane associated guanylate kinase%2C WW and PDZ domain containing 3
PHTF1	4	0	0	putative homeodomain transcription factor 1
SYT6	1	0	0	synaptotagmin 6
TRIM33	1	1	0	tripartite motif containing 33
DENND2C	1	1	1	DENN domain containing 2C
SYCP1	1	0	1	synaptonemal complex protein 1
NGF	1	0	1	nerve growth factor
VANGL1	1	1	0	VANGL planar cell polarity protein 1
SLC22A15	1	1	0	solute carrier family 22 member 15
MAB21L3	1	0	0	mab-21 like 3
CD58	1	1	0	CD58 molecule
IGSF3	1	1	1	immunoglobulin superfamily member 3
VTCN1	1	1	1	V-set domain containing T cell activation inhibitor 1
MAN1A2	1	1	1	mannosidase alpha class 1A member 2
SPAG17	1	1	0	sperm associated antigen 17
TBX15	1	1	0	T-box transcription factor 15
WARS2	1	1	0	tryptophanyl tRNA synthetase 2%2C mitochondrial
HAO2	1	0	0	hydroxyacid oxidase 2
NOTCH2	1	1	1	notch receptor 2
SEC22B	4	1	0	SEC22 homolog B%2C vesicle trafficking protein
NBPF8	4	0	4	NBPF member 8
NBPF26	1	0	0	NBPF member 26
NOTCH2NLR	1	0	0	notch 2 N-terminal like R
SRGAP2C	1	0	0	SLIT-ROBO Rho GTPase activating protein 2C
H3-7	1	0	0	H3.7 histone (putative)
SRGAP2B	1	0	0	SLIT-ROBO Rho GTPase activating protein 2B
LOC124905677	1	0	0	myomegalin-like
NBPF20	1	0	0	NBPF member 20
RNF115	1	1	0	ring finger protein 115
RBM8A	1	0	0	RNA binding motif protein 8A
NBPF10	1	0	0	NBPF member 10
