genes,descriptions,num_populations,is_shared,Central,Western,Eastern
LOC134807121,uncharacterized LOC134807121,3,Yes,10.47070254,8.051505015,8.965837267
JPH3,junctophilin 3,3,Yes,10.06530268,7.718087191,10.45756455
NINJ2,ninjurin 2,3,Yes,10.43032276,7.668770746,10.11363102
MMP26,matrix metallopeptidase 26,3,Yes,10.21180795,8.21930461,9.855968549
LOC129135418,meteorin-like protein,2,Yes,26.24796886,15.70503725,NA
LOC129138019,ret finger protein-like 4A,2,Yes,22.33552349,10.33825812,NA
KIR2DL1,killer cell immunoglobulin-like receptor,2,Yes,21.60345095,NA,14.40963293
LOC129138006,ret finger protein-like 4A,2,Yes,NA,15.09472422,20.45136786
TRAPPC12,trafficking protein particle complex subunit 12,2,Yes,NA,14.73392872,18.96547866
LOC112206412,uncharacterized LOC112206412,2,Yes,12.14268662,18.70435147,NA
LOC129138022,ret finger protein-like 4A,2,Yes,18.50056319,NA,13.67072634
CLPTM1L,CLPTM1 like,2,Yes,18.3562531,13.40304656,NA
IFT140,intraflagellar transport 140,2,Yes,17.78874259,11.94587596,NA
LOC104007508,uncharacterized LOC104007508,2,Yes,NA,15.47007952,17.78642946
PASK,PAS domain containing serine/threonine kinase,2,Yes,NA,9.091652359,17.40549471
TWIST2,twist family bHLH transcription factor 2,2,Yes,NA,10.12553444,17.39272615
LOC134806971,immunoglobulin heavy variable 4-30-4-like,2,Yes,17.36144001,9.72193555,NA
LOC129141848,MAM and LDL-receptor class A domain-containing protein 1-like,2,Yes,16.88166439,NA,10.7256864
KIF1A,kinesin family member 1A,2,Yes,16.82056853,NA,9.934467459
DBNDD1,dysbindin domain containing 1,2,Yes,16.6851589,14.99982848,NA
LOC129138028,ret finger protein-like 4A,2,Yes,NA,10.16868055,16.57867159
UNC5A,unc-5 netrin receptor A,2,Yes,16.54711866,10.69610428,NA
PLEKHG1,pleckstrin homology and RhoGEF domain containing G1,2,Yes,NA,12.61174308,16.36031884
LOC107974514,uncharacterized LOC107974514,2,Yes,NA,9.901712344,16.35140141
LOC129143150,PRAME family member 1-like,2,Yes,16.30089313,NA,9.255956162
LOC100611617,putative UPF0607 protein ENSP00000383144,2,Yes,16.0016597,NA,10.97830346
LOC462552,protein PBMUCL2,2,Yes,15.81037671,NA,10.76912007
SLC6A12,solute carrier family 6 member 12,2,Yes,NA,15.52776541,12.86033982
ACOT7,acyl-CoA thioesterase 7,2,Yes,NA,11.0376968,15.42297582
ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,2,Yes,NA,10.68549165,15.36859045
ZNF28,zinc finger protein 28,2,Yes,NA,12.39701537,15.13668603
AJAP1,adherens junctions associated protein 1,2,Yes,15.08467999,13.64694787,NA
LOC129138016,ret finger protein-like 4A,2,Yes,NA,8.019938839,15.0393538
CACNA1B,calcium voltage-gated channel subunit alpha1 B,2,Yes,15.01457305,11.58966891,NA
COL4A1,collagen type IV alpha 1 chain,2,Yes,NA,10.96562084,14.92088104
LOC129143198,MAM and LDL-receptor class A domain-containing protein 1-like,2,Yes,14.87906891,10.17940723,NA
TAFA5,TAFA chemokine like family member 5,2,Yes,NA,10.32202913,14.83043726
PRAP1,proline rich acidic protein 1,2,Yes,10.40185132,NA,14.72882408
LOC129138027,ret finger protein-like 4A,2,Yes,NA,14.62179127,14.12148896
ACSF3,acyl-CoA synthetase family member 3,2,Yes,NA,10.35958815,14.58603818
LOC129137561,uncharacterized LOC129137561,2,Yes,14.42770425,8.953130548,NA
PRAG1,PEAK1 related%2C kinase-activating pseudokinase 1,2,Yes,NA,14.39784277,10.43995557
AP2A2,adaptor related protein complex 2 subunit alpha 2,2,Yes,NA,10.63277807,14.38683672
LOC457604,complement factor H-related protein 4,2,Yes,14.3003813,NA,10.65518891
TTLL8,tubulin tyrosine ligase like 8,2,Yes,NA,14.25729426,13.02434514
LILRB1,leukocyte immunoglobulin like receptor B1,2,Yes,NA,11.0143708,14.13479173
MTA1,metastasis associated 1,2,Yes,NA,11.80902799,14.07428283
LOC134809945,uncharacterized LOC134809945,2,Yes,13.9602889,9.880061156,NA
NOM1,nucleolar protein with MIF4G domain 1,2,Yes,13.8746788,NA,9.713184301
FN3K,fructosamine 3 kinase,2,Yes,13.75048415,7.516369012,NA
SNX8,sorting nexin 8,2,Yes,NA,8.75095547,13.67606249
LOC104006679,uncharacterized LOC104006679,2,Yes,NA,13.64017439,9.918079924
C14H14orf180,chromosome 14 C14orf180 homolog,2,Yes,NA,13.61395664,11.87874041
LOC107972867,spectrin beta chain%2C non-erythrocytic 5-like,2,Yes,13.48862635,NA,8.961388211
LILRA2,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,2,Yes,13.4667052,NA,10.57326783
LOC748182,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,2,Yes,NA,12.47576344,13.41452506
LOC134808165,uncharacterized LOC134808165,2,Yes,13.39347503,NA,10.4646581
LOC129143384,uncharacterized LOC129143384,2,Yes,13.3900483,11.65719452,NA
TRIM31,tripartite motif containing 31,2,Yes,13.38847949,NA,9.245170685
LOC107976907,endogenous retrovirus group K member 16 Rec protein,2,Yes,NA,9.180778921,13.31931351
INTS11,integrator complex subunit 11,2,Yes,NA,9.057361713,13.31527954
CNST,consortin%2C connexin sorting protein,2,Yes,NA,8.346818076,13.30551804
LPCAT1,lysophosphatidylcholine acyltransferase 1,2,Yes,13.268392,11.18180444,NA
PTPRE,protein tyrosine phosphatase receptor type E,2,Yes,13.15339243,7.87903994,NA
DPP10,dipeptidyl peptidase like 10,2,Yes,11.40582767,NA,13.08440665
LOC738574,radial spoke head 10 homolog B,2,Yes,12.88912132,NA,9.831531284
LOC129144234,uncharacterized LOC129144234,2,Yes,12.87871098,NA,9.276492988
LOC129137951,PRAME family member 11-like,2,Yes,NA,10.17855495,12.87752958
LOC129138029,ret finger protein-like 4A,2,Yes,NA,12.17914348,12.86352359
THOP1,thimet oligopeptidase 1,2,Yes,NA,8.754591211,12.8606214
PTDSS2,phosphatidylserine synthase 2,2,Yes,NA,10.89573777,12.84996492
SHC2,SHC adaptor protein 2,2,Yes,NA,11.99827543,12.78626118
LOC107973745,uncharacterized LOC107973745,2,Yes,12.72745536,9.212584888,NA
LOC461041,rod cGMP-specific 3'%2C5'-cyclic phosphodiesterase subunit beta,2,Yes,12.70795951,7.569094975,NA
ZNG1A,Zn regulated GTPase metalloprotein activator 1A,2,Yes,12.69456801,12.53260625,NA
RIMBP2,RIMS binding protein 2,2,Yes,NA,11.65846493,12.67573145
SKI,SKI proto-oncogene,2,Yes,NA,8.027982411,12.67020584
LOC134808114,uncharacterized LOC134808114,2,Yes,12.65288746,NA,10.24821431
C6H6orf15,chromosome 6 C6orf15 homolog,2,Yes,12.6442635,NA,9.371718133
LOC104005939,uncharacterized LOC104005939,2,Yes,12.35193804,NA,12.5900622
WDR19,WD repeat domain 19,2,Yes,12.53724733,NA,10.83844175
LOC742626,radial spoke head 10 homolog B,2,Yes,12.47887022,NA,9.328312559
ANO9,anoctamin 9,2,Yes,12.45117715,9.188013154,NA
LOC129135556,spectrin beta chain%2C non-erythrocytic 5-like,2,Yes,12.31369856,8.745941121,NA
NKAIN2,sodium/potassium transporting ATPase interacting 2,2,Yes,NA,9.714649933,12.25714811
SLC34A1,solute carrier family 34 member 1,2,Yes,NA,12.07419335,12.24899546
CEP170B,centrosomal protein 170B,2,Yes,11.37979685,12.22291589,NA
EXD3,exonuclease 3'-5' domain containing 3,2,Yes,12.20703186,9.744903865,NA
ZBTB46,zinc finger and BTB domain containing 46,2,Yes,NA,11.75676804,12.18073849
TMEM44,transmembrane protein 44,2,Yes,NA,9.828564194,12.13562444
LOC129144202,tubulin beta-8 chain-like,2,Yes,NA,12.11680648,10.8767984
NBPF3,NBPF member 3,2,Yes,12.07498704,8.275228422,NA
MUC5B,mucin 5B%2C oligomeric mucus/gel-forming,2,Yes,12.06319428,NA,10.55141053
PPARGC1A,PPARG coactivator 1 alpha,2,Yes,NA,12.01422582,11.64720762
COL23A1,collagen type XXIII alpha 1 chain,2,Yes,12.008599,8.150313727,NA
LOC129144171,uncharacterized LOC129144171,2,Yes,11.9333843,NA,9.041973076
LOC112208034,protein eyes shut homolog,2,Yes,11.92899619,NA,10.00841686
LOC749565,prothymosin alpha-like,2,Yes,NA,11.9010493,10.02723425
TRAF7,TNF receptor associated factor 7,2,Yes,NA,11.89575737,10.02133767
LOC129138281,uncharacterized LOC129138281,2,Yes,11.82624295,7.736938747,NA
UPF3A,UPF3A regulator of nonsense mediated mRNA decay,2,Yes,10.79919058,11.81021161,NA
TYRP1,tyrosinase related protein 1,2,Yes,11.8017754,7.81038344,NA
ZNF26,zinc finger protein 26,2,Yes,NA,7.946041592,11.79823558
LRRC38,leucine rich repeat containing 38,2,Yes,11.79673224,7.502464113,NA
LOC129137554,uncharacterized LOC129137554,2,Yes,NA,8.387606078,11.79234874
SHANK3,SH3 and multiple ankyrin repeat domains 3,2,Yes,NA,8.617757928,11.77328242
SLC9A3,solute carrier family 9 member A3,2,Yes,NA,9.173503603,11.70671489
CEP104,centrosomal protein 104,2,Yes,11.67158483,11.29590774,NA
NXN,nucleoredoxin,2,Yes,NA,8.826590085,11.65643772
LOC112204802,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,2,Yes,NA,7.806215175,11.54965316
NRIP1,nuclear receptor interacting protein 1,2,Yes,NA,7.895165275,11.52174786
NFATC1,nuclear factor of activated T cells 1,2,Yes,10.31972008,NA,11.46178407
ZNF454,zinc finger protein 454,2,Yes,11.45169934,NA,9.345359578
OR1D2,olfactory receptor family 1 subfamily D member 2,2,Yes,11.4463272,NA,11.33428527
LOC112204429,uncharacterized LOC112204429,2,Yes,11.41718679,NA,9.540837605
LOC134807845,uncharacterized LOC134807845,2,Yes,NA,8.85047641,11.38540706
LOC104003432,zinc finger protein 813,2,Yes,NA,11.34328566,10.37453036
PCDH15,protocadherin related 15,2,Yes,11.32390145,NA,10.41763861
