genes,genes_renamed,descriptions,num_populations,is_shared,Eastern,Western,Central,Candidate TSP literature
PATR-DPB1,HLA-DPB1,major histocompatibility complex%2C class II%2C DP beta 1,2,Yes,NA,7.121780992,11.49076509,
PRKG1,PRKG1,protein kinase cGMP-dependent 1,2,Yes,NA,6.349745616,11.48806397,
DPEP1,DPEP1,dipeptidase 1,2,Yes,NA,7.403037572,11.41339876,
GCAWKR,GCAWKR,gastric cancer associated WDR5 and KAT2A binding lncRNA,2,Yes,NA,6.872707272,11.17632491,
LOC104007081,SIMC1,SUMO-interacting motif-containing protein 1,2,Yes,NA,7.554358063,11.15487238,
LOC748623,TRAV14DV4,T cell receptor alpha variable 14/delta variable 4-like,2,Yes,NA,6.501883314,11.06186856,
LOC134806971,IGHV4-30-4,immunoglobulin heavy variable 4-30-4-like,2,Yes,NA,7.554070241,10.57139351,
FARP2,FARP2,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2,2,Yes,NA,6.536897678,10.54456372,
DOK7,DOK7,docking protein 7,2,Yes,NA,7.148825351,10.32422779,
HS3ST2,HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2,2,Yes,NA,7.028244184,10.09864526,
CAPN15,CAPN15,calpain 15,2,Yes,NA,6.60637703,9.844154081,
ARHGAP8,ARHGAP8,Rho GTPase activating protein 8,2,Yes,NA,6.358434018,9.610991946,
SNAI3,SNAI3,snail family transcriptional repressor 3,2,Yes,NA,6.363459748,9.590322616,
BANP,BANP,BTG3 associated nuclear protein,2,Yes,NA,6.309541888,9.12013071,
MACROD2,MACROD2,mono-ADP ribosylhydrolase 2,2,Yes,NA,6.238392216,9.08167029,
BTBD9,BTBD9,BTB domain containing 9,2,Yes,NA,6.730057751,8.869018364,
BRF1,BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,2,Yes,16.22426184,14.24882336,NA,
ZNF28,ZNF28,zinc finger protein 28,2,Yes,15.13668603,12.39701537,NA,
ADARB2,ADARB2,adenosine deaminase RNA specific B2 (inactive),2,Yes,12.00956179,10.29291979,NA,
GNG7,GNG7,G protein subunit gamma 7,2,Yes,11.27644012,7.632875969,NA,
FOXK2,FOXK2,forkhead box K2,2,Yes,11.11962431,13.11667411,NA,
SNTG1,SNTG1,syntrophin gamma 1,2,Yes,10.83545987,9.175585575,NA,
LAIR1,LAIR1,leukocyte associated immunoglobulin like receptor 1,2,Yes,10.82428459,8.360856762,NA,
PRIM2,PRIM2,DNA primase subunit 2,2,Yes,10.75061095,7.254849191,NA,
LOC104003467,OR1L4,olfactory receptor 1L4-like,2,Yes,10.7393058,8.148221726,NA,
LOC457604,CFHR4,complement factor H-related protein 4,2,Yes,10.65518891,NA,14.3003813,
PATR-B,HLA-B,major histocompatibility complex%2C class I%2C B,2,Yes,10.50844786,8.94280176,NA,
LILRB1,LILRB1,leukocyte immunoglobulin like receptor B1,2,Yes,10.44177012,8.838027261,NA,
ZNF888,ZNF888,zinc finger protein 888,2,Yes,10.43049037,10.19019179,NA,
LOC468717,C3P1,putative protein C3P1,2,Yes,10.31935743,7.995029278,NA,
SNTG2,SNTG2,syntrophin gamma 2,2,Yes,10.14563708,7.553208821,NA,
LOC736783,CTRB1,chymotrypsinogen B,2,Yes,10.02655844,7.580638498,NA,
FAM107B,FAM107B,family with sequence similarity 107 member B,2,Yes,9.934565435,7.785202965,NA,
HBE1,HBE1,hemoglobin subunit epsilon 1,2,Yes,9.845422421,9.558579522,NA,
DNAH11,DNAH11,dynein axonemal heavy chain 11,2,Yes,9.840411124,6.241795481,NA,
LOC738574,RSPH10B,radial spoke head 10 homolog B,2,Yes,9.831531284,NA,11.47969788,
LOC112209443,RH-like IIR,RH-like protein IIR,2,Yes,9.806552605,6.429960008,NA,
ZNF578,ZNF578,zinc finger protein 578,2,Yes,9.77255644,8.600245097,NA,
USH2A,USH2A,usherin,2,Yes,9.742504373,NA,10.25706761,
C11H11orf40,C11H11orf40,chromosome 11 C11orf40 homolog,2,Yes,9.629271332,7.532233105,NA,
ADAMTSL1,ADAMTSL1,ADAMTS like 1,2,Yes,9.608360832,8.04011672,NA,
LOC104003354,OR10J6P,putative olfactory receptor 10J6,2,Yes,9.568788196,7.456715621,NA,
ACR,ACR,acrosin,2,Yes,9.550988304,7.485769419,NA,
LOC134810183,MICB,MHC class I polypeptide-related sequence B-like,2,Yes,9.388608833,8.033151486,NA,
SIRT3,SIRT3,sirtuin 3,2,Yes,9.357397448,6.497533909,NA,
ATP13A3,ATP13A3,ATPase 13A3,2,Yes,9.346232175,8.008045063,NA,
LOC100611617,UPF0607 ,putative UPF0607 protein ENSP00000383144,2,Yes,9.255919578,NA,13.44786477,
PRSS51,PRSS51,serine protease 51,2,Yes,9.139634832,7.10651003,NA,
OPCML,OPCML,opioid binding protein/cell adhesion molecule like,2,Yes,9.070576385,7.602478295,NA,
AGBL1,AGBL1,AGBL carboxypeptidase 1,2,Yes,9.066859299,6.86091346,NA,
MLPH,MLPH,melanophilin,2,Yes,9.026084811,NA,10.57878301,
NLRP9,NLRP9,NLR family pyrin domain containing 9,2,Yes,9.010786785,NA,11.3174818,
CRACD,CRACD,capping protein inhibiting regulator of actin dynamics,2,Yes,8.92803473,NA,11.68297919,
SPATA19,SPATA19,spermatogenesis associated 19,2,Yes,8.901523804,6.464522067,NA,
STMN3,STMN3,stathmin 3,2,Yes,8.88625943,7.750728416,NA,
PRKAR1B,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,2,Yes,8.815098741,6.52382806,NA,
GFPT2,GFPT2,glutamine-fructose-6-phosphate transaminase 2,2,Yes,8.759984507,7.207904616,NA,
LUZP2,LUZP2,leucine zipper protein 2,2,Yes,8.759148888,6.91948599,NA,Munby & Przeworski
WRAP73,WRAP73,WD repeat containing%2C antisense to TP73,2,Yes,8.748111103,7.736431152,NA,
MT1M,MT1M,metallothionein 1M,2,Yes,8.711783494,6.564145446,NA,
CNTN4,CNTN4,contactin 4,2,Yes,8.697562196,6.358378832,NA,
PIK3C2G,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,2,Yes,8.689739061,NA,11.1303535,
TMEM51,TMEM51,transmembrane protein 51,2,Yes,8.684394803,NA,10.3737855,
ATP11A,ATP11A,ATPase phospholipid transporting 11A,2,Yes,8.632429962,6.736139268,NA,
NXN,NXN,nucleoredoxin,2,Yes,8.624288361,8.047963222,NA,
ZNF845,ZNF845,zinc finger protein 845,2,Yes,8.600783228,9.30026983,NA,
LOC461139,GBA3,cytosolic beta-glucosidase,2,Yes,8.59653058,NA,8.947515648,
KIR3DX1,KIR3DX1,killer cell immunoglobulin-like receptor%2C three domains%2C X1,2,Yes,8.583552874,6.905224546,NA,
TCP10L2,TCP10L2,t-complex 10 like 2,2,Yes,8.573469829,6.990295826,NA,
DNAJC16,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,2,Yes,8.528027242,7.408547028,NA,
CCDC187,CCDC187,coiled-coil domain containing 187,2,Yes,8.527249509,6.73628548,NA,
INPP4B,INPP4B,inositol polyphosphate-4-phosphatase type II B,2,Yes,8.52142669,NA,11.54133197,
EPHA6,EPHA6,EPH receptor A6,2,Yes,8.503503386,6.331715602,NA,
HDAC4,HDAC4,histone deacetylase 4,2,Yes,8.487279918,6.93927311,NA,
RYR2,RYR2,ryanodine receptor 2,2,Yes,8.486880636,NA,9.290203556,
LOC129137954,FAM90A27P,protein FAM90A27P-like,2,Yes,8.429409128,7.181044948,NA,
LOC454266,PKD1L2 ,polycystin-1-like protein 2,2,Yes,8.360439222,6.966210994,NA,
NEDD4L,NEDD4L,NEDD4 like E3 ubiquitin protein ligase,2,Yes,8.327513697,NA,11.11764169,
SP140L,SP140L,SP140 nuclear body protein like,2,Yes,8.291823867,6.312145055,NA,
VAV2,VAV2,vav guanine nucleotide exchange factor 2,2,Yes,8.245680902,6.784216202,NA,
PDXK,PDXK,pyridoxal kinase,2,Yes,8.243107803,6.845255579,NA,
FHAD1,FHAD1,forkhead associated phosphopeptide binding domain 1,2,Yes,8.242900982,6.405079051,NA,
ZNF415,ZNF415,zinc finger protein 415,2,Yes,8.234486063,7.126795167,NA,
DNAH9,DNAH9,dynein axonemal heavy chain 9,2,Yes,8.220754711,6.633119919,NA,
COL4A3,COL4A3,collagen type IV alpha 3 chain,2,Yes,8.182069102,NA,9.206047079,
CHSY1,CHSY1,chondroitin sulfate synthase 1,2,Yes,8.173854238,NA,11.27993763,
TMC7,TMC7,transmembrane channel like 7,2,Yes,8.166466565,NA,10.90453724,
LOC453251,HERC2P3 ,putative HERC2-like protein 3,2,Yes,8.145673642,6.286150285,NA,
MUC16,MUC16,mucin 16%2C cell surface associated,2,Yes,8.140362419,NA,10.11510738,
TMEM132C,TMEM132C,transmembrane protein 132C,2,Yes,8.139291282,NA,10.09012083,
NPHP4,NPHP4,nephrocystin 4,2,Yes,8.125398303,6.71171601,NA,
MYOM2,MYOM2,myomesin 2,2,Yes,8.10613319,6.870338524,NA,
TRIML1,TRIML1,tripartite motif family like 1,2,Yes,8.105648187,6.84532479,NA,
ZSCAN5A,ZSCAN5A,zinc finger and SCAN domain containing 5A,2,Yes,8.101159885,7.388053194,NA,
NPRL3,NPRL3,NPR3 like%2C GATOR1 complex subunit,2,Yes,8.034432048,6.423073522,NA,
NLRP5,NLRP5,NLR family pyrin domain containing 5,2,Yes,8.007759111,7.440724646,NA,
ANO3,ANO3,anoctamin 3,2,Yes,7.990393813,6.369355802,NA,
DMRT1,DMRT1,doublesex and mab-3 related transcription factor 1,2,Yes,7.986158089,6.481893326,NA,
CACNA2D4,CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4,2,Yes,7.985802865,6.462468155,NA,
CFHR4,CFHR4,complement factor H related 4,2,Yes,7.978498807,NA,11.61758219,
RNF39,RNF39,ring finger protein 39,2,Yes,7.970457089,6.586722653,NA,
EVC2,EVC2,EvC ciliary complex subunit 2,2,Yes,7.950343823,NA,10.30123047,
PTPRR,PTPRR,protein tyrosine phosphatase receptor type R,2,Yes,7.940905056,NA,9.147787238,
SHC4,SHC4,SHC adaptor protein 4,2,Yes,7.918566198,NA,9.831457702,
LOC738646,OR5H6,olfactory receptor 5H6-like,2,Yes,7.898060179,6.507515291,NA,
LOC104001134,ZNF83,zinc finger protein 83,2,Yes,7.895294024,8.518593964,NA,
