100000_CHM13.pri	XY	CHM13	.	Ref	CHM13	CHM13	CHM13
200374_NA18943.hap2	X	NA18943	M	EastAsia	JPT	.	HPRC
200375_NA18944.hap1	Y	NA18944	M	EastAsia	JPT	.	HPRC
200376_NA18944.hap2	X	NA18944	M	EastAsia	JPT	.	HPRC
200377_NA18945.hap1	Y	NA18945	M	EastAsia	JPT	.	HPRC
200378_NA18945.hap2	X	NA18945	M	EastAsia	JPT	.	HPRC
200379_NA18948.hap1	Y	NA18948	M	EastAsia	JPT	.	HPRC
200380_NA18948.hap2	X	NA18948	M	EastAsia	JPT	.	HPRC
200381_NA18952.hap1	Y	NA18952	M	EastAsia	JPT	.	HPRC
200382_NA18952.hap2	X	NA18952	M	EastAsia	JPT	.	HPRC
200383_NA18959.hap1	Y	NA18959	M	EastAsia	JPT	.	HPRC
200384_NA18959.hap2	X	NA18959	M	EastAsia	JPT	.	HPRC
200385_NA18960.hap1	Y	NA18960	M	EastAsia	JPT	.	HPRC
200386_NA18960.hap2	X	NA18960	M	EastAsia	JPT	.	HPRC
200387_NA18967.hap1	Y	NA18967	M	EastAsia	JPT	.	HPRC
200388_NA18967.hap2	X	NA18967	M	EastAsia	JPT	.	HPRC
200389_NA18970.hap1	Y	NA18970	M	EastAsia	JPT	.	HPRC
200390_NA18970.hap2	X	NA18970	M	EastAsia	JPT	.	HPRC
200391_NA18971.hap1	Y	NA18971	M	EastAsia	JPT	.	HPRC
200392_NA18971.hap2	X	NA18971	M	EastAsia	JPT	.	HPRC
200393_NA18974.hap1	Y	NA18974	M	EastAsia	JPT	.	HPRC
200394_NA18974.hap2	X	NA18974	M	EastAsia	JPT	.	HPRC
200395_NA18976.hap1	X	NA18976	F	EastAsia	JPT	.	HPRC
200396_NA18976.hap2	X	NA18976	F	EastAsia	JPT	.	HPRC
200397_NA18982.hap1	Y	NA18982	M	EastAsia	JPT	.	HPRC
200398_NA18982.hap2	X	NA18982	M	EastAsia	JPT	.	HPRC
200399_NA18983.hap1	Y	NA18983	M	EastAsia	JPT	.	HPRC
200400_NA18983.hap2	X	NA18983	M	EastAsia	JPT	.	HPRC
200401_NA19036.hap1	X	NA19036	F	Africa	LWK	.	HPRC
200402_NA19036.hap2	X	NA19036	F	Africa	LWK	.	HPRC
200403_NA19043.hap1	Y	NA19043	M	Africa	LWK	.	HPRC
200404_NA19043.hap2	X	NA19043	M	Africa	LWK	.	HPRC
200405_NA19087.hap1	X	NA19087	F	EastAsia	JPT	.	HPRC
200406_NA19087.hap2	X	NA19087	F	EastAsia	JPT	.	HPRC
200407_NA19159.hap1	X	NA19159	F	Africa	YRI	.	HPRC
200408_NA19159.hap2	X	NA19159	F	Africa	YRI	.	HPRC
200409_NA19185.hap1	X	NA19185	F	Africa	YRI	.	HPRC
200410_NA19185.hap2	X	NA19185	F	Africa	YRI	.	HPRC
200411_NA19338.hap1	X	NA19338	F	Africa	LWK	.	HPRC
200412_NA19338.hap2	X	NA19338	F	Africa	LWK	.	HPRC
200413_NA19391.hap1	X	NA19391	F	Africa	LWK	.	HPRC
200414_NA19391.hap2	X	NA19391	F	Africa	LWK	.	HPRC
200415_NA19443.hap1	Y	NA19443	M	Africa	LWK	.	HPRC
200416_NA19443.hap2	X	NA19443	M	Africa	LWK	.	HPRC
200417_NA19468.hap1	X	NA19468	F	Africa	LWK	.	HPRC
200418_NA19468.hap2	X	NA19468	F	Africa	LWK	.	HPRC
200419_NA19682.hap1	Y	NA19682	M	America	MXL	.	HPRC
200420_NA19682.hap2	X	NA19682	M	America	MXL	.	HPRC
200421_NA19700.hap1	Y	NA19700	M	Africa	ASW	.	HPRC
200422_NA19700.hap2	X	NA19700	M	Africa	ASW	.	HPRC
200423_NA19776.hap1	X	NA19776	F	America	MXL	.	HPRC
200424_NA19776.hap2	X	NA19776	F	America	MXL	.	HPRC
200425_NA19835.hap1	X	NA19835	F	Africa	ASW	.	HPRC
200426_NA19835.hap2	X	NA19835	F	Africa	ASW	.	HPRC
200427_NA19909.hap1	X	NA19909	F	Africa	ASW	.	HPRC
200428_NA19909.hap2	X	NA19909	F	Africa	ASW	.	HPRC
200429_NA20282.hap1	X	NA20282	F	Africa	ASW	.	HPRC
200430_NA20282.hap2	X	NA20282	F	Africa	ASW	.	HPRC
200431_NA20346.hap1	Y	NA20346	M	Africa	ASW	.	HPRC
200432_NA20346.hap2	X	NA20346	M	Africa	ASW	.	HPRC
200433_NA20503.hap1	X	NA20503	F	WestEurasia	TSI	.	HPRC
200434_NA20503.hap2	X	NA20503	F	WestEurasia	TSI	.	HPRC
200435_NA20752.hap1	Y	NA20752	M	WestEurasia	TSI	.	HPRC
200436_NA20752.hap2	X	NA20752	M	WestEurasia	TSI	.	HPRC
200437_NA20762.hap1	Y	NA20762	M	WestEurasia	TSI	.	HPRC
200438_NA20762.hap2	X	NA20762	M	WestEurasia	TSI	.	HPRC
200439_NA20799.hap1	X	NA20799	F	WestEurasia	TSI	.	HPRC
200440_NA20799.hap2	X	NA20799	F	WestEurasia	TSI	.	HPRC
200441_NA20805.hap1	Y	NA20805	M	WestEurasia	TSI	.	HPRC
200442_NA20805.hap2	X	NA20805	M	WestEurasia	TSI	.	HPRC
200443_NA20806.hap1	.	NA20806	M	WestEurasia	TSI	.	HPRC
200444_NA20806.hap2	XY	NA20806	M	WestEurasia	TSI	.	HPRC
200445_NA20809.hap1	Y	NA20809	M	WestEurasia	TSI	.	HPRC
200446_NA20809.hap2	X	NA20809	M	WestEurasia	TSI	.	HPRC
200447_NA20827.hap1	Y	NA20827	M	WestEurasia	TSI	.	HPRC
200448_NA20827.hap2	X	NA20827	M	WestEurasia	TSI	.	HPRC
200449_NA20850.hap1	Y	NA20850	M	SouthAsia	GIH	.	HPRC
200450_NA20850.hap2	X	NA20850	M	SouthAsia	GIH	.	HPRC
200451_NA20870.hap1	Y	NA20870	M	SouthAsia	GIH	.	HPRC
200452_NA20870.hap2	X	NA20870	M	SouthAsia	GIH	.	HPRC
200453_NA20905.hap1	Y	NA20905	M	SouthAsia	GIH	.	HPRC
200454_NA20905.hap2	X	NA20905	M	SouthAsia	GIH	.	HPRC
200455_NA21093.hap1	Y	NA21093	M	SouthAsia	GIH	.	HPRC
200456_NA21093.hap2	X	NA21093	M	SouthAsia	GIH	.	HPRC
200457_NA21102.hap1	X	NA21102	F	SouthAsia	GIH	.	HPRC
200458_NA21102.hap2	X	NA21102	F	SouthAsia	GIH	.	HPRC
200459_NA21106.hap1	X	NA21106	F	SouthAsia	GIH	.	HPRC
200460_NA21106.hap2	X	NA21106	F	SouthAsia	GIH	.	HPRC
200461_NA21110.hap1	X	NA21110	F	SouthAsia	GIH	.	HPRC
200462_NA21110.hap2	X	NA21110	F	SouthAsia	GIH	.	HPRC
200463_NA21144.hap1	X	NA21144	F	SouthAsia	GIH	.	HPRC
200464_NA21144.hap2	X	NA21144	F	SouthAsia	GIH	.	HPRC
210001_APR-F.hap1	Y	APR-F	M	WestEurasia	.	UnitedArabEmirates	APR
210002_APR-F.hap2	X	APR-F	M	WestEurasia	.	UnitedArabEmirates	APR
210003_APR-M.hap1	X	APR-M	F	WestEurasia	.	UnitedArabEmirates	APR
210004_APR-M.hap2	X	APR-M	F	WestEurasia	.	UnitedArabEmirates	APR
210005_APR001.hap1	X	APR001	F	WestEurasia	.	UnitedArabEmirates	APR
210006_APR001.hap2	X	APR001	F	WestEurasia	.	UnitedArabEmirates	APR
210007_APR002.hap1	X	APR002	F	WestEurasia	.	UnitedArabEmirates	APR
210008_APR002.hap2	X	APR002	F	WestEurasia	.	UnitedArabEmirates	APR
210009_APR003.hap1	Y	APR003	M	WestEurasia	.	UnitedArabEmirates	APR
210010_APR003.hap2	X	APR003	M	WestEurasia	.	UnitedArabEmirates	APR
210011_APR004.hap1	X	APR004	F	WestEurasia	.	UnitedArabEmirates	APR
210012_APR004.hap2	X	APR004	F	WestEurasia	.	UnitedArabEmirates	APR
210013_APR005.hap1	Y	APR005	M	WestEurasia	.	UnitedArabEmirates	APR
210014_APR005.hap2	X	APR005	M	WestEurasia	.	UnitedArabEmirates	APR
210015_APR006.hap1	Y	APR006	M	WestEurasia	.	UnitedArabEmirates	APR
210016_APR006.hap2	X	APR006	M	WestEurasia	.	UnitedArabEmirates	APR
210017_APR007.hap1	X	APR007	F	WestEurasia	.	UnitedArabEmirates	APR
210018_APR007.hap2	X	APR007	F	WestEurasia	.	UnitedArabEmirates	APR
210019_APR008.hap1	X	APR008	F	WestEurasia	.	UnitedArabEmirates	APR
210020_APR008.hap2	X	APR008	F	WestEurasia	.	UnitedArabEmirates	APR
210021_APR009.hap1	X	APR009	F	WestEurasia	.	UnitedArabEmirates	APR
210022_APR009.hap2	X	APR009	F	WestEurasia	.	UnitedArabEmirates	APR
210023_APR010.hap1	Y	APR010	M	WestEurasia	.	UnitedArabEmirates	APR
210024_APR010.hap2	X	APR010	M	WestEurasia	.	UnitedArabEmirates	APR
210025_APR011.hap1	X	APR011	F	WestEurasia	.	UnitedArabEmirates	APR
210026_APR011.hap2	X	APR011	F	WestEurasia	.	UnitedArabEmirates	APR
210027_APR012.hap1	Y	APR012	M	WestEurasia	.	UnitedArabEmirates	APR
210028_APR012.hap2	X	APR012	M	WestEurasia	.	UnitedArabEmirates	APR
210029_APR013.hap1	Y	APR013	M	WestEurasia	.	UnitedArabEmirates	APR
210030_APR013.hap2	X	APR013	M	WestEurasia	.	UnitedArabEmirates	APR
210031_APR014.hap1	X	APR014	F	WestEurasia	.	UnitedArabEmirates	APR
210032_APR014.hap2	X	APR014	F	WestEurasia	.	UnitedArabEmirates	APR
210033_APR015.hap1	X	APR015	F	WestEurasia	.	UnitedArabEmirates	APR
210034_APR015.hap2	X	APR015	F	WestEurasia	.	UnitedArabEmirates	APR
210035_APR016.hap1	X	APR016	F	WestEurasia	.	UnitedArabEmirates	APR
210036_APR016.hap2	X	APR016	F	WestEurasia	.	UnitedArabEmirates	APR
210037_APR018.hap1	X	APR018	F	WestEurasia	.	UnitedArabEmirates	APR
210038_APR018.hap2	X	APR018	F	WestEurasia	.	UnitedArabEmirates	APR
210039_APR019.hap1	X	APR019	F	WestEurasia	.	UnitedArabEmirates	APR
210040_APR019.hap2	X	APR019	F	WestEurasia	.	UnitedArabEmirates	APR
210041_APR020.hap1	X	APR020	F	WestEurasia	.	UnitedArabEmirates	APR
210042_APR020.hap2	X	APR020	F	WestEurasia	.	UnitedArabEmirates	APR
210043_APR021.hap1	X	APR021	F	WestEurasia	.	UnitedArabEmirates	APR
210044_APR021.hap2	X	APR021	F	WestEurasia	.	UnitedArabEmirates	APR
210045_APR022.hap1	X	APR022	F	WestEurasia	.	UnitedArabEmirates	APR
210046_APR022.hap2	X	APR022	F	WestEurasia	.	UnitedArabEmirates	APR
210047_APR023.hap1	Y	APR023	M	WestEurasia	.	UnitedArabEmirates	APR
210048_APR023.hap2	X	APR023	M	WestEurasia	.	UnitedArabEmirates	APR
210049_APR024.hap1	Y	APR024	M	WestEurasia	.	UnitedArabEmirates	APR
210050_APR024.hap2	X	APR024	M	WestEurasia	.	UnitedArabEmirates	APR
210051_APR025.hap1	Y	APR025	M	WestEurasia	.	UnitedArabEmirates	APR
210052_APR025.hap2	X	APR025	M	WestEurasia	.	UnitedArabEmirates	APR
210053_APR026.hap1	Y	APR026	M	WestEurasia	.	UnitedArabEmirates	APR
210054_APR026.hap2	X	APR026	M	WestEurasia	.	UnitedArabEmirates	APR
210055_APR027.hap1	X	APR027	F	WestEurasia	.	UnitedArabEmirates	APR
210056_APR027.hap2	X	APR027	F	WestEurasia	.	UnitedArabEmirates	APR
210057_APR029.hap1	X	APR029	F	WestEurasia	.	UnitedArabEmirates	APR
210058_APR029.hap2	X	APR029	F	WestEurasia	.	UnitedArabEmirates	APR
210059_APR030.hap1	X	APR030	F	WestEurasia	.	UnitedArabEmirates	APR
210060_APR030.hap2	X	APR030	F	WestEurasia	.	UnitedArabEmirates	APR
210061_APR031.hap1	X	APR031	F	WestEurasia	.	UnitedArabEmirates	APR
210062_APR031.hap2	X	APR031	F	WestEurasia	.	UnitedArabEmirates	APR
210063_APR032.hap1	X	APR032	F	WestEurasia	.	UnitedArabEmirates	APR
210064_APR032.hap2	X	APR032	F	WestEurasia	.	UnitedArabEmirates	APR
210065_APR033.hap1	Y	APR033	M	WestEurasia	.	UnitedArabEmirates	APR
210066_APR033.hap2	X	APR033	M	WestEurasia	.	UnitedArabEmirates	APR
210067_APR034.hap1	X	APR034	F	WestEurasia	.	UnitedArabEmirates	APR
210068_APR034.hap2	X	APR034	F	WestEurasia	.	UnitedArabEmirates	APR
210069_APR035.hap1	X	APR035	F	WestEurasia	.	UnitedArabEmirates	APR
210070_APR035.hap2	X	APR035	F	WestEurasia	.	UnitedArabEmirates	APR
210071_APR036.hap1	Y	APR036	M	WestEurasia	.	UnitedArabEmirates	APR
210072_APR036.hap2	X	APR036	M	WestEurasia	.	UnitedArabEmirates	APR
210073_APR037.hap1	X	APR037	F	WestEurasia	.	UnitedArabEmirates	APR
210074_APR037.hap2	X	APR037	F	WestEurasia	.	UnitedArabEmirates	APR
210075_APR038.hap1	Y	APR038	M	WestEurasia	.	UnitedArabEmirates	APR
210076_APR038.hap2	X	APR038	M	WestEurasia	.	UnitedArabEmirates	APR
210077_APR039.hap1	Y	APR039	M	WestEurasia	.	UnitedArabEmirates	APR
210078_APR039.hap2	X	APR039	M	WestEurasia	.	UnitedArabEmirates	APR
210079_APR040.hap1	X	APR040	F	WestEurasia	.	UnitedArabEmirates	APR
210080_APR040.hap2	X	APR040	F	WestEurasia	.	UnitedArabEmirates	APR
210081_APR041.hap1	Y	APR041	M	WestEurasia	.	UnitedArabEmirates	APR
210082_APR041.hap2	X	APR041	M	WestEurasia	.	UnitedArabEmirates	APR
210083_APR042.hap1	Y	APR042	M	WestEurasia	.	SaudiArabia	APR
210084_APR042.hap2	X	APR042	M	WestEurasia	.	SaudiArabia	APR
210085_APR043.hap1	X	APR043	F	WestEurasia	.	SaudiArabia	APR
210086_APR043.hap2	X	APR043	F	WestEurasia	.	SaudiArabia	APR
210087_APR044.hap1	X	APR044	F	WestEurasia	.	Egypt	APR
210088_APR044.hap2	X	APR044	F	WestEurasia	.	Egypt	APR
210089_APR045.hap1	Y	APR045	M	WestEurasia	.	Egypt	APR
210090_APR045.hap2	X	APR045	M	WestEurasia	.	Egypt	APR
210091_APR046.hap1	Y	APR046	M	WestEurasia	.	Jordan	APR
210092_APR046.hap2	X	APR046	M	WestEurasia	.	Jordan	APR
210093_APR047.hap1	X	APR047	F	WestEurasia	.	Syria	APR
210094_APR047.hap2	X	APR047	F	WestEurasia	.	Syria	APR
210095_APR048.hap1	X	APR048	F	WestEurasia	.	Oman	APR
210096_APR048.hap2	X	APR048	F	WestEurasia	.	Oman	APR
210097_APR049.hap1	Y	APR049	M	WestEurasia	.	Oman	APR
210098_APR049.hap2	X	APR049	M	WestEurasia	.	Oman	APR
210099_APR050.hap1	Y	APR050	M	WestEurasia	.	Morocco	APR
210100_APR050.hap2	X	APR050	M	WestEurasia	.	Morocco	APR
210101_APR051.hap1	Y	APR051	M	WestEurasia	.	Morocco	APR
210102_APR051.hap2	X	APR051	M	WestEurasia	.	Morocco	APR
210103_APR052.hap1	X	APR052	F	WestEurasia	.	Yemen	APR
210104_APR052.hap2	X	APR052	F	WestEurasia	.	Yemen	APR
HG02554.hap1		HG02554		Africa	ACB	.	HPRC
HG02554.hap2		HG02554		Africa	ACB	.	HPRC
