genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
ALG1,chitobiosyldiphosphodolichol beta-mannosyltransferase-like,NA,1,chimp_only,NA,6.11,NA
ALLC,allantoicase,NA,1,chimp_only,NA,20.01,NA
AMTN,NA,protein_coding,1,human_only,NA,NA,6.766637501
AMY2B,amylase alpha 2B,NA,1,chimp_only,NA,6.48,NA
ANGPT2,angiopoietin 2,protein_coding,1,bonobo_only,6.99,NA,NA
ANO3,NA,protein_coding,1,human_only,NA,NA,6.590571108
ANTXRL,anthrax toxin receptor-like,protein_coding,1,bonobo_only,7.77,NA,NA
ANXA10,annexin A10,protein_coding,1,bonobo_only,6.27,NA,NA
APBA2,amyloid-beta A4 precursor protein-binding family A member 2-like,protein_coding,1,bonobo_only,6.4,NA,NA
APOH,apolipoprotein H,protein_coding,1,bonobo_only,6.01,NA,NA
APP,amyloid beta precursor protein,protein_coding,1,bonobo_only,6.36,NA,NA
AQP12B,aquaporin-12B,protein_coding,1,bonobo_only,6.07,NA,NA
ARID1B,AT-rich interaction domain 1B,protein_coding,1,bonobo_only,13.81,NA,NA
ATP2C2,ATPase secretory pathway Ca2+ transporting 2,NA,1,chimp_only,NA,6.28,NA
ATP9B,ATPase phospholipid transporting 9B (putative),protein_coding,1,bonobo_only,14.27,NA,NA
B3GNTL1,UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase like 1,protein_coding,1,bonobo_only,6.03,NA,NA
B4GALNT3,beta-1%2C4-N-acetyl-galactosaminyltransferase 3,protein_coding,1,bonobo_only,8.48,NA,NA
BCL9L,B-cell CLL/lymphoma 9-like protein,protein_coding,1,bonobo_only,6.07,NA,NA
BICRA,BRD4-interacting chromatin-remodeling complex-associated protein,protein_coding,1,bonobo_only,6.69,NA,NA
BRSK2,BR serine/threonine kinase 2,protein_coding,1,bonobo_only,6.31,NA,NA
BTNL8,butyrophilin like 8,NA,1,chimp_only,NA,7.88,NA
C3H4orf50,chromosome 3 C4orf50 homolog,NA,1,chimp_only,NA,6.23,NA
C3P1,putative protein C3P1,NA,1,chimp_only,NA,7.49,NA
C6H7orf50,chromosome 6 C7orf50 homolog,protein_coding,1,bonobo_only,6.47,NA,NA
