name,variant_type,Bonobo,Chimpanzee,Human,description,post_mean,selection_regime
KIDINS220,SVs,1,1,0,kinase D interacting substrate 220,0.0542274,Extreme selection
KIF13A,SVs,1,1,1,kinesin family member 13A,0.0797748,Extreme selection
KIF13B,SVs,1,1,1,kinesin family member 13B,0.0308933,Extreme selection
KIF14,SVs,0,1,3,kinesin family member 14,0.0189812,Extreme selection
KIF15,SVs,0,1,1,kinesin family member 15,0.00279293,Strong selection
KIF16B,SVs,1,1,1,kinesin family member 16B,0.00463129,Strong selection
KIF17,SVs,0,1,1,kinesin family member 17,0.00319563,Strong selection
KIF18B,SVs,0,1,0,kinesin family member 18B,0.00727866,Strong selection
KIF19,SVs,1,0,1,kinesin family member 19,0.00158185,Strong selection
KIF1A,SVs,1,1,1,kinesin family member 1A,0.146032,Extreme selection
KIF1B,SVs,1,1,1,kinesin family member 1B,0.0983431,Extreme selection
KIF1C,SVs,0,1,0,kinesin family member 1C,0.0526201,Extreme selection
KIF20B,SVs,0,0,1,kinesin family member 20B,0.00663644,Strong selection
KIF21A,SVs,0,2,1,kinesin family member 21A,0.0291147,Extreme selection
KIF21B,SVs,1,1,0,kinesin family member 21B,0.0639672,Extreme selection
KIF22,SVs,0,1,0,kinesin family member 22,0.0173603,Extreme selection
KIF24,SVs,0,1,1,kinesin family member 24,0.00133855,Strong selection
KIF25,SVs,4,1,1,kinesin family member 25,9.574e-4,Weak selection
KIF26A,SVs,0,1,1,kinesin family member 26A,0.0390839,Extreme selection
KIF26B,SVs,1,1,1,kinesin family member 26B,0.0965654,Extreme selection
KIF27,SVs,0,1,0,kinesin family member 27,0.00285903,Strong selection
KIF2A,SVs,1,1,1,kinesin family member 2A,0.195232,Extreme selection
KIF2B,SVs,0,1,0,kinesin family member 2B,0.00219055,Strong selection
KIF3B,SVs,0,0,2,kinesin family member 3B,0.0707813,Extreme selection
KIF4A,SVs,1,1,1,kinesin family member 4A,0.150862,Extreme selection
KIF4B,SVs,0,1,0,kinesin family member 4B,0.00186685,Strong selection
KIF5B,SVs,0,1,1,kinesin family member 5B,0.11411,Extreme selection
KIF5C,SVs,0,0,1,kinesin family member 5C,0.327699,Extreme selection
KIF6,SVs,0,1,1,kinesin family member 6,0.00129269,Strong selection
KIF7,SVs,0,1,0,kinesin family member 7,0.00701912,Strong selection
KIF9,SVs,0,1,1,kinesin family member 9,0.00186767,Strong selection
KIFAP3,SVs,1,1,1,kinesin associated protein 3,0.0484576,Extreme selection
KIFBP,SVs,0,1,1,kinesin family binding protein,0.0168806,Extreme selection
KIFC3,SVs,0,1,0,kinesin family member C3,0.0215497,Extreme selection
KIN,SVs,0,0,1,Kin17 DNA and RNA binding protein,0.00615141,Strong selection
KIR2DL1,SVs,0,4,4,killer cell immunoglobulin like receptor%2C two Ig domains and long cytoplasmic tail 1,0.00137223,Strong selection
KIR2DL3,SVs,0,0,4,killer cell immunoglobulin like receptor%2C two Ig domains and long cytoplasmic tail 3,0.0016207,Strong selection
KIR2DL4,SVs,0,1,4,killer cell immunoglobulin like receptor%2C two Ig domains and long cytoplasmic tail 4,0.00265917,Strong selection
KIR3DL1,SVs,0,0,4,killer cell immunoglobulin like receptor%2C three Ig domains and long cytoplasmic tail 1,0.00154926,Strong selection
KIR3DL2,SVs,0,0,4,killer cell immunoglobulin like receptor%2C three Ig domains and long cytoplasmic tail 2,0.00161388,Strong selection
KIR3DL3,SVs,0,0,1,killer cell immunoglobulin like receptor%2C three Ig domains and long cytoplasmic tail 3,0.0017934,Strong selection
KIRREL1,SVs,0,1,1,kirre like nephrin family adhesion molecule 1,0.114517,Extreme selection
KIRREL2,SVs,0,1,0,kirre like nephrin family adhesion molecule 2,0.00100506,Strong selection
KIRREL3,SVs,1,1,1,kirre like nephrin family adhesion molecule 3,0.106707,Extreme selection
KIT,SVs,0,0,1,KIT proto-oncogene%2C receptor tyrosine kinase,0.0836465,Extreme selection
KL,SVs,0,1,0,klotho,0.010803,Extreme selection
KLB,SVs,1,1,1,klotho beta,0.0243765,Extreme selection
KLC2,SVs,0,0,1,kinesin light chain 2,0.0708363,Extreme selection
KLC4,SVs,1,0,1,kinesin light chain 4,0.0106144,Extreme selection
KLF12,SVs,1,1,1,KLF transcription factor 12,0.181343,Extreme selection
KLF16,SVs,0,0,1,KLF transcription factor 16,0.0663403,Extreme selection
KLF17,SVs,1,0,0,KLF transcription factor 17,0.00242429,Strong selection
KLF4,SVs,0,0,3,KLF transcription factor 4,0.217357,Extreme selection
KLF5,SVs,0,0,1,KLF transcription factor 5,0.156355,Extreme selection
KLF7,SVs,1,1,1,KLF transcription factor 7,0.205646,Extreme selection
KLF8,SVs,0,1,1,KLF transcription factor 8,0.0306209,Extreme selection
KLF9,SVs,1,1,1,KLF transcription factor 9,0.244907,Extreme selection
KLHDC1,SVs,1,1,1,kelch domain containing 1,0.00304188,Strong selection
KLHDC10,SVs,1,1,0,kelch domain containing 10,0.0996303,Extreme selection
KLHDC4,SVs,1,4,1,kelch domain containing 4,0.00106257,Strong selection
KLHDC8A,SVs,1,0,0,kelch domain containing 8A,0.00394682,Strong selection
KLHL1,SVs,1,1,1,kelch like family member 1,0.0103538,Extreme selection
KLHL11,SVs,0,1,1,kelch like family member 11,0.0607727,Extreme selection
KLHL12,SVs,1,1,0,kelch like family member 12,0.0383912,Extreme selection
KLHL13,SVs,1,1,1,kelch like family member 13,0.0546133,Extreme selection
KLHL14,SVs,0,1,1,kelch like family member 14,0.0545623,Extreme selection
KLHL18,SVs,0,1,0,kelch like family member 18,0.0400676,Extreme selection
KLHL2,SVs,0,1,1,kelch like family member 2,0.190255,Extreme selection
KLHL20,SVs,0,1,0,kelch like family member 20,0.057358,Extreme selection
KLHL21,SVs,0,1,0,kelch like family member 21,0.0111317,Extreme selection
KLHL22,SVs,0,1,0,kelch like family member 22,0.0417559,Extreme selection
KLHL23,SVs,0,1,0,kelch like family member 23,0.0276158,Extreme selection
KLHL24,SVs,0,1,1,kelch like family member 24,0.0597644,Extreme selection
KLHL25,SVs,0,1,0,kelch like family member 25,0.00119354,Strong selection
KLHL26,SVs,0,0,1,kelch like family member 26,0.0052591,Strong selection
KLHL29,SVs,1,1,1,kelch like family member 29,0.0955154,Extreme selection
KLHL3,SVs,0,1,1,kelch like family member 3,0.0645203,Extreme selection
KLHL32,SVs,0,1,1,kelch like family member 32,0.0297078,Extreme selection
KLHL33,SVs,0,1,1,kelch like family member 33,9.6215e-4,Weak selection
KLHL36,SVs,0,1,0,kelch like family member 36,0.0409855,Extreme selection
KLHL38,SVs,0,0,1,kelch like family member 38,8.4975e-4,Weak selection
KLHL4,SVs,0,1,0,kelch like family member 4,0.0564127,Extreme selection
KLHL41,SVs,0,1,1,kelch like family member 41,0.0202211,Extreme selection
KLHL42,SVs,1,0,0,kelch like family member 42,0.0132992,Extreme selection
KLHL5,SVs,1,0,1,kelch like family member 5,0.0135881,Extreme selection
KLHL6,SVs,0,1,1,kelch like family member 6,0.0135707,Extreme selection
KLHL7,SVs,0,1,1,kelch like family member 7,0.0151764,Extreme selection
KLHL8,SVs,0,0,1,kelch like family member 8,0.0287814,Extreme selection
KLHL9,SVs,0,1,0,kelch like family member 9,0.0925659,Extreme selection
KLK4,SVs,0,0,1,kallikrein related peptidase 4,6.1974e-4,Weak selection
KLK5,SVs,0,0,1,kallikrein related peptidase 5,0.00209245,Strong selection
KLK6,SVs,0,1,1,kallikrein related peptidase 6,0.00429355,Strong selection
KLK7,SVs,0,0,1,kallikrein related peptidase 7,0.00294751,Strong selection
KLLN,SVs,0,0,1,killin%2C p53 regulated DNA replication inhibitor,0.00244332,Strong selection
KLRB1,SVs,1,0,0,killer cell lectin like receptor B1,0.00364614,Strong selection
KLRC1,SVs,0,1,1,killer cell lectin like receptor C1,7.2971e-4,Weak selection
KLRC3,SVs,0,4,1,killer cell lectin like receptor C3,0.0017366,Strong selection
KLRC4,SVs,0,0,1,killer cell lectin like receptor C4,0.00232641,Strong selection
KLRD1,SVs,1,1,1,killer cell lectin like receptor D1,0.0019896,Strong selection
KLRF2,SVs,0,1,0,killer cell lectin like receptor F2,6.0647e-4,Weak selection
KLRG1,SVs,0,0,1,killer cell lectin like receptor G1,0.00200942,Strong selection
KLRG2,SVs,0,1,1,killer cell lectin like receptor G2,0.00118721,Strong selection
KLRK1,SVs,0,1,0,killer cell lectin like receptor K1,0.00198586,Strong selection
KMO,SVs,0,1,1,kynurenine 3-monooxygenase,0.00554701,Strong selection
KMT2A,SVs,0,4,1,lysine methyltransferase 2A,0.880224,Extreme selection
KMT2C,SVs,1,1,1,lysine methyltransferase 2C,0.251161,Extreme selection
KMT2E,SVs,4,0,0,lysine methyltransferase 2E (inactive),0.395809,Extreme selection
KMT5A,SVs,0,1,0,lysine methyltransferase 5A,0.167195,Extreme selection
KMT5B,SVs,0,1,0,lysine methyltransferase 5B,0.433811,Extreme selection
KNDC1,SVs,0,1,1,kinase non-catalytic C-lobe domain containing 1,0.0362981,Extreme selection
KNG1,SVs,0,4,1,kininogen 1,0.00123231,Strong selection
KNL1,SVs,0,1,0,kinetochore scaffold 1,0.0588986,Extreme selection
KNSTRN,SVs,0,0,1,kinetochore localized astrin (SPAG5) binding protein,0.00227044,Strong selection
KNTC1,SVs,1,1,1,kinetochore associated 1,0.00295398,Strong selection
KPNA1,SVs,0,1,1,karyopherin subunit alpha 1,0.131688,Extreme selection
KPNA2,SVs,0,1,1,karyopherin subunit alpha 2,0.0651538,Extreme selection
KPNA3,SVs,1,1,0,karyopherin subunit alpha 3,0.140213,Extreme selection
KPNA4,SVs,0,1,0,karyopherin subunit alpha 4,0.23767,Extreme selection
KPNA5,SVs,0,1,0,karyopherin subunit alpha 5,0.00665965,Strong selection
KPNA7,SVs,0,1,0,karyopherin subunit alpha 7,0.00100022,Strong selection
KPNB1,SVs,0,1,0,karyopherin subunit beta 1,0.561088,Extreme selection
KRAS,SVs,0,1,0,KRAS proto-oncogene%2C GTPase,0.264841,Extreme selection
KRBA2,SVs,0,1,1,KRAB-A domain containing 2,8.4115e-4,Weak selection
KRBOX1,SVs,1,0,0,KRAB box domain containing 1,0.00182305,Strong selection
KRBOX5,SVs,0,1,1,KRAB box domain containing 5,0.010213,Extreme selection
KREMEN1,SVs,1,1,1,kringle containing transmembrane protein 1,0.00369419,Strong selection
KRI1,SVs,1,0,0,KRI1 homolog,0.00658276,Strong selection
KRR1,SVs,0,4,1,KRR1 small subunit processome component homolog,0.0107872,Extreme selection
KRT14,SVs,0,0,1,keratin 14,0.0474404,Extreme selection
KRT16,SVs,0,1,0,keratin 16,0.0166359,Extreme selection
KRT17,SVs,0,1,0,keratin 17,0.0184395,Extreme selection
KRT18,SVs,0,1,0,keratin 18,0.0528747,Extreme selection
KRT222,SVs,0,1,0,keratin 222,0.00476426,Strong selection
KRT23,SVs,1,0,0,keratin 23,0.00107557,Strong selection
KRT33A,SVs,0,0,1,keratin 33A,0.00105824,Strong selection
KRT33B,SVs,0,0,4,keratin 33B,0.00114792,Strong selection
KRT34,SVs,0,0,4,keratin 34,0.00160653,Strong selection
KRT39,SVs,0,1,1,keratin 39,8.5084e-4,Weak selection
KRT40,SVs,0,0,1,keratin 40,9.14e-4,Weak selection
KRT75,SVs,0,0,1,keratin 75,0.00285837,Strong selection
KRT76,SVs,0,1,1,keratin 76,8.2259e-4,Weak selection
KRT77,SVs,0,0,4,keratin 77,0.00113646,Strong selection
KRT78,SVs,0,1,1,keratin 78,9.1833e-4,Weak selection
KRT79,SVs,0,1,1,keratin 79,0.00143253,Strong selection
KRT80,SVs,0,1,0,keratin 80,0.00167471,Strong selection
KRT82,SVs,0,0,1,keratin 82,7.3337e-4,Weak selection
KRT86,SVs,0,0,1,keratin 86,0.00115383,Strong selection
KRTAP10-4,SVs,0,0,1,keratin associated protein 10-4,0.00345459,Strong selection
KRTAP11-1,SVs,0,0,1,keratin associated protein 11-1,0.0249814,Extreme selection
KRTAP13-2,SVs,0,1,0,keratin associated protein 13-2,0.00344815,Strong selection
KRTAP19-7,SVs,0,0,1,keratin associated protein 19-7,0.00474195,Strong selection
KRTAP2-2,SVs,0,0,4,keratin associated protein 2-2,0.02208,Extreme selection
KRTAP2-3,SVs,0,0,4,keratin associated protein 2-3,0.0147956,Extreme selection
KRTAP2-4,SVs,0,0,4,keratin associated protein 2-4,0.0075337,Strong selection
KRTAP21-3,SVs,0,0,1,keratin associated protein 21-3,0.00489987,Strong selection
KRTAP29-1,SVs,0,1,0,keratin associated like protein 29-1,0.00898451,Strong selection
KRTAP4-11,SVs,0,0,4,keratin associated protein 4-11,0.00215823,Strong selection
KRTAP4-12,SVs,0,0,1,keratin associated protein 4-12,0.00382326,Strong selection
KRTAP4-16,SVs,0,0,4,keratin associated protein 4-16,0.00806083,Strong selection
KRTAP4-5,SVs,0,1,0,keratin associated protein 4-5,0.00422391,Strong selection
KRTAP4-8,SVs,0,0,1,keratin associated protein 4-8,0.00261759,Strong selection
KRTAP4-9,SVs,0,0,4,keratin associated protein 4-9,0.00314789,Strong selection
KRTAP5-11,SVs,0,0,1,keratin associated protein 5-11,0.00347792,Strong selection
KRTAP5-2,SVs,0,0,1,keratin associated protein 5-2,0.00456272,Strong selection
KRTAP5-5,SVs,0,0,1,keratin associated protein 5-5,0.0213898,Extreme selection
KRTAP5-7,SVs,0,0,1,keratin associated protein 5-7,0.00268789,Strong selection
KRTAP9-2,SVs,0,0,1,keratin associated protein 9-2,0.00357504,Strong selection
KRTAP9-3,SVs,0,0,4,keratin associated protein 9-3,0.00327988,Strong selection
KRTAP9-4,SVs,0,0,4,keratin associated protein 9-4,0.00329997,Strong selection
KRTAP9-7,SVs,0,0,1,keratin associated protein 9-7,0.00335935,Strong selection
KRTAP9-8,SVs,0,0,4,keratin associated protein 9-8,0.00394305,Strong selection
KRTAP9-9,SVs,0,0,1,keratin associated protein 9-9,0.00479182,Strong selection
KRTCAP3,SVs,0,0,1,keratinocyte associated protein 3,0.00176065,Strong selection
KRTDAP,SVs,1,1,0,keratinocyte differentiation associated protein,0.00316256,Strong selection
KSR1,SVs,0,0,1,kinase suppressor of ras 1,0.0521596,Extreme selection
KSR2,SVs,1,1,1,kinase suppressor of ras 2,0.391044,Extreme selection
KTN1,SVs,0,0,1,kinectin 1,0.0393564,Extreme selection
KXD1,SVs,0,0,1,KxDL motif containing 1,0.0244013,Extreme selection
KY,SVs,0,1,0,kyphoscoliosis peptidase,0.00430375,Strong selection
KYAT1,SVs,1,1,0,kynurenine aminotransferase 1,0.00140205,Strong selection
KYAT3,SVs,0,0,1,kynurenine aminotransferase 3,7.5956e-4,Weak selection
KYNU,SVs,1,1,1,kynureninase,5.4116e-4,Weak selection
L1CAM,SVs,1,1,0,L1 cell adhesion molecule,0.246329,Extreme selection
L1TD1,SVs,1,1,1,LINE1 type transposase domain containing 1,0.00432589,Strong selection
L2HGDH,SVs,0,1,0,L-2-hydroxyglutarate dehydrogenase,0.00639783,Strong selection
L3MBTL2,SVs,0,1,4,L3MBTL histone methyl-lysine binding protein 2,0.0253397,Extreme selection
L3MBTL3,SVs,0,1,0,L3MBTL histone methyl-lysine binding protein 3,0.104253,Extreme selection
L3MBTL4,SVs,1,1,1,L3MBTL histone methyl-lysine binding protein 4,0.00325942,Strong selection
LACC1,SVs,0,1,0,laccase domain containing 1,0.00736884,Strong selection
LACTB2,SVs,0,1,1,lactamase beta 2,0.00274045,Strong selection
LAGE3,SVs,0,1,0,L antigen family member 3,0.0474796,Extreme selection
LAIR1,SVs,0,1,4,leukocyte associated immunoglobulin like receptor 1,0.00291575,Strong selection
LALBA,SVs,0,1,0,lactalbumin alpha,0.0058347,Strong selection
LAMA1,SVs,1,1,1,laminin subunit alpha 1,0.00942648,Strong selection
LAMA2,SVs,1,1,1,laminin subunit alpha 2,0.00658466,Strong selection
LAMA3,SVs,0,0,1,laminin subunit alpha 3,0.00508046,Strong selection
LAMA4,SVs,1,1,1,laminin subunit alpha 4,0.00942098,Strong selection
LAMA5,SVs,1,4,1,laminin subunit alpha 5,0.0473387,Extreme selection
LAMB1,SVs,0,1,1,laminin subunit beta 1,0.0175809,Extreme selection
LAMB4,SVs,0,1,1,laminin subunit beta 4,5.9328e-4,Weak selection
LAMC1,SVs,0,1,1,laminin subunit gamma 1,0.0961931,Extreme selection
LAMC3,SVs,1,1,0,laminin subunit gamma 3,0.00297994,Strong selection
LAMP1,SVs,1,1,0,lysosomal associated membrane protein 1,0.0580086,Extreme selection
LAMP3,SVs,0,1,0,lysosomal associated membrane protein 3,0.00262311,Strong selection
LAMTOR3,SVs,0,1,0,late endosomal/lysosomal adaptor%2C MAPK and MTOR activator 3,0.019261,Extreme selection
LANCL1,SVs,0,1,1,LanC like glutathione S-transferase 1,0.0016673,Strong selection
LANCL2,SVs,0,1,1,LanC like glutathione S-transferase 2,0.0305504,Extreme selection
LANCL3,SVs,0,1,0,LanC like family member 3,0.0238961,Extreme selection
LAPTM4A,SVs,1,1,0,lysosomal protein transmembrane 4 alpha,0.00354028,Strong selection
LAPTM4B,SVs,0,1,1,lysosomal protein transmembrane 4 beta,0.00154069,Strong selection
LAPTM5,SVs,0,1,0,lysosomal protein transmembrane 5,0.0239629,Extreme selection
LARGE1,SVs,1,1,1,LARGE xylosyl- and glucuronyltransferase 1,0.0888091,Extreme selection
LARP1,SVs,1,1,1,La ribonucleoprotein 1%2C translational regulator,0.30419,Extreme selection
LARP1B,SVs,0,1,1,La ribonucleoprotein 1B,0.0170064,Extreme selection
LARP4,SVs,0,1,0,La ribonucleoprotein 4,0.129762,Extreme selection
LARP4B,SVs,1,1,0,La ribonucleoprotein 4B,0.247165,Extreme selection
LARP6,SVs,0,0,1,La ribonucleoprotein 6%2C translational regulator,0.0599578,Extreme selection
LARP7,SVs,0,0,1,La ribonucleoprotein 7%2C transcriptional regulator,0.00206819,Strong selection
LARS1,SVs,0,1,1,leucyl-tRNA synthetase 1,0.0165738,Extreme selection
LARS2,SVs,0,0,1,leucyl-tRNA synthetase 2%2C mitochondrial,0.00549679,Strong selection
LASP1,SVs,0,1,1,LIM and SH3 protein 1,0.172733,Extreme selection
LAT2,SVs,1,1,0,linker for activation of T cells family member 2,0.00294854,Strong selection
LATS1,SVs,0,1,1,large tumor suppressor kinase 1,0.136796,Extreme selection
LATS2,SVs,0,1,1,large tumor suppressor kinase 2,0.0951949,Extreme selection
LAX1,SVs,0,1,1,lymphocyte transmembrane adaptor 1,0.00193409,Strong selection
LBP,SVs,0,0,1,lipopolysaccharide binding protein,4.8505e-4,Weak selection
LBR,SVs,0,1,0,lamin B receptor,0.0426414,Extreme selection
LCA5,SVs,0,1,0,lebercilin LCA5,0.00926525,Strong selection
LCA5L,SVs,1,1,1,lebercilin LCA5 like,0.00244547,Strong selection
LCAT,SVs,0,0,1,lecithin-cholesterol acyltransferase,0.0173401,Extreme selection
LCE1D,SVs,0,0,4,late cornified envelope 1D,0.00874787,Strong selection
LCE1E,SVs,0,0,1,late cornified envelope 1E,0.00419225,Strong selection
LCE1F,SVs,0,0,1,late cornified envelope 1F,0.00714508,Strong selection
LCE2A,SVs,0,0,1,late cornified envelope 2A,0.00125394,Strong selection
LCE2B,SVs,0,0,1,late cornified envelope 2B,0.00378791,Strong selection
LCE2C,SVs,0,0,3,late cornified envelope 2C,0.00426034,Strong selection
LCE3B,SVs,0,0,4,late cornified envelope 3B,0.0475461,Extreme selection
LCE3C,SVs,0,0,4,late cornified envelope 3C,0.0152651,Extreme selection
LCE3D,SVs,0,0,4,late cornified envelope 3D,0.00451028,Strong selection
LCE3E,SVs,0,0,4,late cornified envelope 3E,0.00782754,Strong selection
LCLAT1,SVs,1,1,1,lysocardiolipin acyltransferase 1,0.0181942,Extreme selection
LCMT1,SVs,1,4,0,leucine carboxyl methyltransferase 1,0.00702363,Strong selection
LCMT2,SVs,0,1,1,leucine carboxyl methyltransferase 2,0.00123904,Strong selection
LCN12,SVs,0,1,0,lipocalin 12,0.00272956,Strong selection
LCN15,SVs,0,1,0,lipocalin 15,9.2597e-4,Weak selection
LCN2,SVs,0,0,1,lipocalin 2,8.1149e-4,Weak selection
LCN8,SVs,0,1,0,lipocalin 8,8.206e-4,Weak selection
LCN9,SVs,0,0,1,lipocalin 9,0.00171837,Strong selection
LCOR,SVs,1,1,1,ligand dependent nuclear receptor corepressor,0.162729,Extreme selection
LCORL,SVs,1,1,0,ligand dependent nuclear receptor corepressor like,0.112806,Extreme selection
LCP1,SVs,1,1,1,lymphocyte cytosolic protein 1,0.0565327,Extreme selection
LCT,SVs,0,1,1,lactase,0.0358423,Extreme selection
LCTL,SVs,0,1,0,lactase like,0.00141472,Strong selection
LDAF1,SVs,0,1,1,lipid droplet assembly factor 1,0.00235538,Strong selection
LDAH,SVs,1,1,1,lipid droplet associated hydrolase,9.1223e-4,Weak selection
LDB2,SVs,1,1,1,LIM domain binding 2,0.163704,Extreme selection
LDB3,SVs,1,1,0,LIM domain binding 3,0.0098417,Strong selection
LDHA,SVs,0,1,0,lactate dehydrogenase A,0.0400712,Extreme selection
LDHAL6A,SVs,0,4,0,lactate dehydrogenase A like 6A,0.00105235,Strong selection
LDHB,SVs,0,0,1,lactate dehydrogenase B,0.0135523,Extreme selection
LDHC,SVs,0,1,0,lactate dehydrogenase C,0.00101471,Strong selection
LDLR,SVs,0,1,1,low density lipoprotein receptor,0.00672313,Strong selection
LDLRAD2,SVs,0,0,1,low density lipoprotein receptor class A domain containing 2,0.00108597,Strong selection
LDLRAD3,SVs,0,1,1,low density lipoprotein receptor class A domain containing 3,0.0117592,Extreme selection
LDLRAD4,SVs,1,4,1,low density lipoprotein receptor class A domain containing 4,0.0764997,Extreme selection
LDLRAP1,SVs,1,1,0,low density lipoprotein receptor adaptor protein 1,0.00509711,Strong selection
LEAP2,SVs,0,0,4,liver enriched antimicrobial peptide 2,0.00213446,Strong selection
LEF1,SVs,0,1,1,lymphoid enhancer binding factor 1,0.0933636,Extreme selection
LEKR1,SVs,1,1,0,leucine%2C glutamate and lysine rich 1,0.00285563,Strong selection
LEMD3,SVs,0,0,1,LEM domain containing 3,0.108769,Extreme selection
LENEP,SVs,0,0,1,lens epithelial protein,0.00512719,Strong selection
LENG1,SVs,0,0,1,leukocyte receptor cluster member 1,0.0017644,Strong selection
LENG8,SVs,0,1,0,leukocyte receptor cluster member 8,0.0849407,Extreme selection
LEP,SVs,0,0,1,leptin,0.0942666,Extreme selection
LEPR,SVs,1,1,1,leptin receptor,0.0491455,Extreme selection
LEPROT,SVs,0,0,1,leptin receptor overlapping transcript,0.0228726,Extreme selection
LETM1,SVs,0,1,1,leucine zipper and EF-hand containing transmembrane protein 1,0.0331547,Extreme selection
LETM2,SVs,1,0,0,leucine zipper and EF-hand containing transmembrane protein 2,0.00117343,Strong selection
LETMD1,SVs,0,0,1,LETM1 domain containing 1,0.00310129,Strong selection
LGALS16,SVs,0,1,0,galectin 16,0.0021104,Strong selection
LGALS4,SVs,1,0,0,galectin 4,0.00355893,Strong selection
LGALS7,SVs,0,1,0,galectin 7,0.0163295,Extreme selection
LGALS8,SVs,0,1,1,galectin 8,8.0552e-4,Weak selection
LGALS9B,SVs,0,0,1,galectin 9B,0.00180028,Strong selection
LGALS9C,SVs,0,0,1,galectin 9C,0.00252074,Strong selection
LGALSL,SVs,0,1,1,galectin like,0.0213877,Extreme selection
LGI1,SVs,0,1,1,leucine rich glioma inactivated 1,0.16913,Extreme selection
LGI2,SVs,0,0,1,leucine rich repeat LGI family member 2,0.0152175,Extreme selection
LGMN,SVs,1,1,0,legumain,0.018925,Extreme selection
LGR4,SVs,0,1,1,leucine rich repeat containing G protein-coupled receptor 4,0.038475,Extreme selection
LGR5,SVs,1,1,1,leucine rich repeat containing G protein-coupled receptor 5,0.00801302,Strong selection
LGR6,SVs,1,1,4,leucine rich repeat containing G protein-coupled receptor 6,0.017856,Extreme selection
LGSN,SVs,0,1,1,lengsin%2C lens protein with glutamine synthetase domain,7.021e-4,Weak selection
LHB,SVs,0,1,1,luteinizing hormone subunit beta,0.0109336,Extreme selection
LHCGR,SVs,0,1,0,luteinizing hormone/choriogonadotropin receptor,0.0137998,Extreme selection
LHFPL2,SVs,0,1,1,LHFPL tetraspan subfamily member 2,0.0260726,Extreme selection
LHFPL3,SVs,1,1,1,LHFPL tetraspan subfamily member 3,0.27737,Extreme selection
LHFPL4,SVs,1,1,1,LHFPL tetraspan subfamily member 4,0.0860304,Extreme selection
LHFPL6,SVs,0,1,1,LHFPL tetraspan subfamily member 6,0.039267,Extreme selection
LHPP,SVs,1,1,1,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,0.00228907,Strong selection
LHX2,SVs,1,0,0,LIM homeobox 2,0.225108,Extreme selection
LHX4,SVs,1,1,1,LIM homeobox 4,0.0484933,Extreme selection
LHX6,SVs,1,0,0,LIM homeobox 6,0.123947,Extreme selection
LHX9,SVs,0,0,1,LIM homeobox 9,0.120985,Extreme selection
LIAS,SVs,0,1,0,lipoic acid synthetase,0.0106214,Extreme selection
LIFR,SVs,1,1,1,LIF receptor subunit alpha,0.0132691,Extreme selection
LIG1,SVs,0,4,1,DNA ligase 1,0.0394492,Extreme selection
LIG3,SVs,1,1,0,DNA ligase 3,0.0161438,Extreme selection
LIG4,SVs,0,1,0,DNA ligase 4,0.00979828,Strong selection
LILRA2,SVs,0,1,1,leukocyte immunoglobulin like receptor A2,0.00130532,Strong selection
LILRA4,SVs,0,1,0,leukocyte immunoglobulin like receptor A4,0.00143798,Strong selection
LILRA5,SVs,0,0,1,leukocyte immunoglobulin like receptor A5,0.00203339,Strong selection
LILRA6,SVs,1,4,4,leukocyte immunoglobulin like receptor A6,0.00530934,Strong selection
LILRB1,SVs,0,1,0,leukocyte immunoglobulin like receptor B1,0.00116139,Strong selection
LILRB2,SVs,0,0,1,leukocyte immunoglobulin like receptor B2,0.00207472,Strong selection
LILRB3,SVs,0,1,4,leukocyte immunoglobulin like receptor B3,0.00418,Strong selection
LILRB4,SVs,0,0,4,leukocyte immunoglobulin like receptor B4,9.511e-4,Weak selection
LILRB5,SVs,0,0,1,leukocyte immunoglobulin like receptor B5,7.8235e-4,Weak selection
LIM2,SVs,0,1,1,lens intrinsic membrane protein 2,0.00492233,Strong selection
LIMA1,SVs,1,1,1,LIM domain and actin binding 1,0.00739432,Strong selection
LIMCH1,SVs,1,1,1,LIM and calponin homology domains 1,0.0444295,Extreme selection
LIMD1,SVs,1,1,1,LIM domain containing 1,0.0442961,Extreme selection
LIMK2,SVs,0,0,1,LIM domain kinase 2,0.0337709,Extreme selection
LIMS1,SVs,0,0,1,LIM zinc finger domain containing 1,0.0181757,Extreme selection
LIMS2,SVs,0,0,1,LIM zinc finger domain containing 2,0.00282383,Strong selection
LIN28A,SVs,1,1,0,lin-28 homolog A,0.030874,Extreme selection
LIN28B,SVs,1,1,1,lin-28 homolog B,0.0601969,Extreme selection
LIN52,SVs,1,1,1,lin-52 DREAM MuvB core complex component,0.0551487,Extreme selection
LIN54,SVs,4,0,1,lin-54 DREAM MuvB core complex component,0.432985,Extreme selection
LIN7A,SVs,1,1,1,lin-7 homolog A%2C crumbs cell polarity complex component,0.0223252,Extreme selection
LINGO1,SVs,1,1,1,leucine rich repeat and Ig domain containing 1,0.231704,Extreme selection
LINGO2,SVs,1,1,1,leucine rich repeat and Ig domain containing 2,0.0674941,Extreme selection
LINS1,SVs,0,1,0,lines homolog 1,0.00167365,Strong selection
LIPA,SVs,0,1,0,lipase A%2C lysosomal acid type,0.00374185,Strong selection
LIPC,SVs,0,1,1,lipase C%2C hepatic type,0.00133472,Strong selection
LIPG,SVs,1,1,1,lipase G%2C endothelial type,0.00768025,Strong selection
LIPH,SVs,1,0,1,lipase H,8.9517e-4,Weak selection
