name,variant_type,Bonobo,Chimpanzee,Human,description,post_mean,selection_regime
ADA,SVs,0,0,1,adenosine deaminase,0.00297751,Strong selection
ADA2,SVs,0,0,1,adenosine deaminase 2,7.8261e-4,Weak selection
ADAD1,SVs,1,0,1,adenosine deaminase domain containing 1,0.019638,Extreme selection
ADAL,SVs,0,1,0,adenosine deaminase like,0.00299607,Strong selection
ADAM10,SVs,1,1,1,ADAM metallopeptidase domain 10,0.229161,Extreme selection
ADAM12,SVs,1,1,1,ADAM metallopeptidase domain 12,0.0133743,Extreme selection
ADAM17,SVs,0,1,1,ADAM metallopeptidase domain 17,0.103997,Extreme selection
ADAM18,SVs,0,1,1,ADAM metallopeptidase domain 18,4.491e-4,Weak selection
ADAM19,SVs,0,1,1,ADAM metallopeptidase domain 19,0.0210439,Extreme selection
ADAM2,SVs,1,1,4,ADAM metallopeptidase domain 2,5.0477e-4,Weak selection
ADAM20,SVs,0,1,1,ADAM metallopeptidase domain 20,0.00449423,Strong selection
ADAM22,SVs,1,1,1,ADAM metallopeptidase domain 22,0.0546638,Extreme selection
ADAM23,SVs,0,0,1,ADAM metallopeptidase domain 23,0.0821939,Extreme selection
ADAM28,SVs,1,1,1,ADAM metallopeptidase domain 28,5.3608e-4,Weak selection
ADAM32,SVs,0,1,1,ADAM metallopeptidase domain 32,6.2626e-4,Weak selection
ADAM33,SVs,0,1,0,ADAM metallopeptidase domain 33,6.5033e-4,Weak selection
ADAM7,SVs,0,0,1,ADAM metallopeptidase domain 7,6.2629e-4,Weak selection
ADAM9,SVs,1,0,1,ADAM metallopeptidase domain 9,0.0450836,Extreme selection
ADAMTS1,SVs,0,0,1,ADAM metallopeptidase with thrombospondin type 1 motif 1,0.0489018,Extreme selection
ADAMTS10,SVs,0,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 10,0.0783139,Extreme selection
ADAMTS12,SVs,1,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 12,0.00763937,Strong selection
ADAMTS13,SVs,0,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 13,0.0159542,Extreme selection
ADAMTS14,SVs,0,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 14,9.8145e-4,Weak selection
ADAMTS15,SVs,0,1,0,ADAM metallopeptidase with thrombospondin type 1 motif 15,0.00956771,Strong selection
