loc_name	new_symbol	description
LOC124906779	NA	putative exonuclease GOR
LOC124906781	NA	putative exonuclease GOR
LOC124906782	NA	putative exonuclease GOR
LOC128966630	NA	putative exonuclease GOR
LOC128966625	NA	putative exonuclease GOR
LOC124906702	NA	putative exonuclease GOR
LOC124906777	NA	putative exonuclease GOR
LOC124906687	NA	putative exonuclease GOR
LOC124906688	NA	putative exonuclease GOR
LOC124906703	NA	putative exonuclease GOR
LOC124906704	NA	putative exonuclease GOR
LOC124906705	NA	putative exonuclease GOR
LOC124906706	NA	putative exonuclease GOR
LOC124906707	NA	putative exonuclease GOR
LOC124906708	NA	putative exonuclease GOR
LOC124906709	NA	putative exonuclease GOR
LOC124906710	NA	putative exonuclease GOR
LOC124906711	NA	putative exonuclease GOR
LOC124902048	NA	putative exonuclease GOR
LOC124906793	NA	nascent polypeptide-associated complex subunit alpha%2C muscle-specific form-like
LOC105375947	NA	translation initiation factor IF-2-like
LOC112268044	NA	ankyrin repeat domain-containing protein 18B-like
LOC124906852	NA	putative COBW domain-containing protein 7
LOC124906857	NA	phosphoglucomutase-like protein 5
LOC128966581	NA	putative ankyrin repeat domain-containing protein 30B-like
LOC128966634	NA	ribosome biogenesis protein BMS1 homolog
LOC128966611	NA	putative ankyrin repeat domain-containing protein 20A2
LOC124906875	NA	cyclin-dependent kinase 2-associated protein 2-like
LOC124900275	NA	extensin-like
LOC102723971	LCN1	lipocalin 1-like
LOC124900276	NA	cuticle collagen 2-like
LOC122513141	NA	ring finger protein-like
LOC124900290	DMBT1	deleted in malignant brain tumors 1 protein-like
LOC124906924	NA	double homeobox protein 4-like protein 4
LOC124906931	NA	WAS protein family homolog 2-like
LOC124906935	NA	olfactory receptor 4F4
LOC124906949	NA	mas-related G-protein coupled receptor member X1
LOC128966586	NA	pepsin A-4-like
LOC124906959	NA	pepsin A-4-like
LOC124902766	NA	endogenous retrovirus group K member 7 Env polyprotein-like
LOC128966645	NA	putative ATP-dependent RNA helicase DDX12
LOC105369787	NA	endogenous retrovirus group K member 21 Env polyprotein
LOC124907012	NA	endogenous retrovirus group K member 7 Env polyprotein-like
LOC124907090	NA	ankyrin repeat domain-containing protein SOWAHC-like
LOC128966781	NA	histone-lysine N-methyltransferase 2C-like
LOC105379278	NA	putative tyrosine-protein phosphatase TPTE
LOC112267897	NA	keratin-associated protein 21-1-like
LOC647264	NA	keratin-associated protein 21-1
LOC128966780	NA	DNA-directed RNA polymerase II subunit RPB1-like
LOC124907387	NA	histone-lysine N-methyltransferase 2C-like
LOC124907432	NA	putative tyrosine-protein phosphatase TPTE
LOC124907421	NA	protein FRG1-like
LOC124907420	NA	protein FRG1-like
LOC128966784	NA	pollen-specific leucine-rich repeat extensin-like protein 3
LOC105379417	NA	putative ankyrin repeat domain-containing protein 20A2
LOC124907507	NA	cyclin-dependent kinase 2-associated protein 2-like
LOC124907501	NA	golgin subfamily A member 6-like protein 1
LOC124907509	NA	pollen-specific leucine-rich repeat extensin-like protein 3
LOC100653133	NA	golgin subfamily A member 6-like protein 1
LOC124903571	NA	serine-aspartate repeat-containing protein I-like
LOC124907523	NA	golgin subfamily A member 6A-like
