Sample	id	type	dataset	p1	p2	HPRC_meta.Population	HPRC_PANPAN.color	hgdp_tgp_meta.Genetic.region	hgdp_tgp_meta.Study.region	SpeciesCode	Cell	Birth	hgdp_tgp_meta.Latitude	hgdp_tgp_meta.Longitude	hgdp_tgp_meta.Continent.colors	hgdp_tgp_meta.Pop.colors	project_meta.sex	observations
HG02630	HG02630.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02630	HG02630.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02717	HG02717.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	male	
HG02717	HG02717.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	male	
HG02723	HG02723.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02723	HG02723.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02818	HG02818.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02818	HG02818.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02886	HG02886.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02886	HG02886.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG03098	HG03098.2	hap2	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	male	
HG03098	HG03098.1	hap1	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	male	
HG03453	HG03453.1	hap1	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	female	
HG03453	HG03453.2	hap2	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	female	
HG03486	HG03486.2	hap2	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	female	
HG03486	HG03486.1	hap1	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	female	
HG03492	HG03492.1	hap1	HPRC	PJL	SA	PJL	#0099FF	CSA	SAS	Hsa 			31.55	74.341667	#FF7F00	#6D3600	male	
HG03492	HG03492.2	hap2	HPRC	PJL	SA	PJL	#0099FF	CSA	SAS	Hsa 			31.55	74.341667	#FF7F00	#6D3600	male	
