genomeName	Species_mtDNA	SpeciesCode	CommonName	Assembly	Assembly2	NewName	Birth	cell	type	type2	type3	Latitude_approx	Longitude_approx	id	colors	sex
PR01009	Pan troglodytes schweinfurthii	Pts	Eastern	hifiasm	hifiasm	PR01009 (Eastern chimpanzee)	wild	Fibroblast	hap2	hap2 (PacBio HiFi)	long-read 	0	20	PR01009.hap2	#ffb35a	male
PR01010	Pan troglodytes schweinfurthii	Pts	Eastern	hifiasm_hic	verkko	PR01010 (Eastern chimpanzee)	captive	Fibroblast	hap1	hap1 (PacBio HiFi)	long-read 	0	20	PR01010.hap1	#ffb35a	female
PR01010	Pan troglodytes schweinfurthii	Pts	Eastern	hifiasm_hic	verkko	PR01010 (Eastern chimpanzee)	captive	Fibroblast	hap2	hap2 (PacBio HiFi)	long-read 	0	20	PR01010.hap2	#ffb35a	female
AG05253_1	Pan paniscus	Ppan	Bonobo	hifiasm_hic	hifiasm_hic	AG05253_1(Bonobo)	unknown	Fibroblast	hap1	hap1 (PacBio HiFi)	long-read 	-2.36	21.55	AG05253_1.hap1	#e9d7cb	male
AG05253_1	Pan paniscus	Ppan	Bonobo	hifiasm_hic	hifiasm_hic	AG05253_1(Bonobo)	unknown	Fibroblast	hap2	hap2 (PacBio HiFi)	long-read 	-2.36	21.55	AG05253_1.hap2	#e9d7cb	male
AG18357_3	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18357_3(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18357_3.hap1	#9dced9	female
AG18357_3	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18357_3(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18357_3.hap2	#9dced9	female
AG18358_4	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18358_4(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18358_4.hap1	#9dced9	female
AG18358_4	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18358_4(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18358_4.hap2	#9dced9	female
AG18354_5	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18354_5(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18354_5.hap1	#9dced9	male
AG18354_5	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18354_5(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18354_5.hap2	#9dced9	male
AG18356_6	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG18356_6(hybrid western x central chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	-0.232861	12.888962	AG18356_6.hap1	#4c5d4c	female
AG18356_6	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG18356_6(hybrid western x central chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	-0.232861	12.888962	AG18356_6.hap2	#4c5d4c	female
AG18359_7	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18359_7(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18359_7.hap1	#9dced9	female
AG18359_7	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18359_7(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18359_7.hap2	#9dced9	female
AG18355_8	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18355_8(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18355_8.hap1	#9dced9	male
AG18355_8	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18355_8(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18355_8.hap2	#9dced9	male
AG18353_9	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18353_9(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18353_9.hap1	#9dced9	male
AG18353_9	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18353_9(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18353_9.hap2	#9dced9	male
AG18361_10	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18361_10(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18361_10.hap1	#9dced9	female
AG18361_10	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18361_10(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18361_10.hap2	#9dced9	female
AG18360_11	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18360_11(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG18360_11.hap1	#9dced9	female
