name,human,chimpanzee,bonobo,description
CDK20,4,4,3,cyclin dependent kinase 20
CENPN,4,4,3,centromere protein N
CEP295,4,4,3,centrosomal protein 295
CEP89,4,4,3,centrosomal protein 89
CFAP100,4,4,3,cilia and flagella associated protein 100
CFAP161,4,4,3,cilia and flagella associated protein 161
CFAP65,4,4,3,cilia and flagella associated protein 65
CFAP68,4,4,3,cilia and flagella associated protein 68
CFAP95,4,4,3,cilia and flagella associated protein 95
CFI,4,4,3,complement factor I
CHAF1A,4,4,3,chromatin assembly factor 1 subunit A
CHIA,4,4,3,chitinase acidic
CHN1,4,4,3,chimerin 1
CHSY3,4,4,3,chondroitin sulfate synthase 3
CIAPIN1,4,4,3,cytokine induced apoptosis inhibitor 1
CIMIP2B,4,4,3,ciliary microtubule inner protein 2B
CLCNKB,4,4,3,chloride voltage-gated channel Kb
CLEC6A,4,4,3,C-type lectin domain containing 6A
CLGN,4,4,3,calmegin
CLSPN,4,4,3,claspin
CNBD2,4,4,3,cyclic nucleotide binding domain containing 2
CNGB1,4,4,3,cyclic nucleotide gated channel subunit beta 1
COL28A1,4,4,3,collagen type XXVIII alpha 1 chain
COQ10A,4,4,3,coenzyme Q10A
CSGALNACT1,4,4,3,chondroitin sulfate N-acetylgalactosaminyltransferase 1
CTSB,4,4,3,cathepsin B
CYP2W1,4,4,3,cytochrome P450 family 2 subfamily W member 1
CYP3A5,4,4,3,cytochrome P450 family 3 subfamily A member 5
CYP4F12,4,4,3,cytochrome P450 family 4 subfamily F member 12
D2HGDH,4,4,3,D-2-hydroxyglutarate dehydrogenase
DBF4B,4,4,3,DBF4B-CDC7 kinase regulatory subunit
DCDC1,4,4,3,doublecortin domain containing 1
DDX11,4,4,3,DEAD/H-box helicase 11
DENND3,4,4,3,DENN domain containing 3
DHRS1,4,4,3,dehydrogenase/reductase 1
DIPK1C,4,4,3,divergent protein kinase domain 1C
DLEC1,4,4,3,DLEC1 cilia and flagella associated protein
DMBT1,4,4,3,deleted in malignant brain tumors 1
DMKN,4,4,3,dermokine
DNAAF4,4,4,3,dynein axonemal assembly factor 4
DNAH14,4,4,3,dynein axonemal heavy chain 14
DNHD1,4,4,3,dynein heavy chain domain 1
DNM3,4,4,3,dynamin 3
DPRX,4,4,3,divergent-paired related homeobox
DRC1,4,4,3,dynein regulatory complex subunit 1
DRD4,4,4,3,dopamine receptor D4
DUS1L,4,4,3,dihydrouridine synthase 1 like
DUSP18,4,4,3,dual specificity phosphatase 18
DYNC2I1,4,4,3,dynein 2 intermediate chain 1
DYRK4,4,4,3,dual specificity tyrosine phosphorylation regulated kinase 4
DYTN,4,4,3,dystrotelin
DZANK1,4,4,3,double zinc ribbon and ankyrin repeat domains 1
DZIP1L,4,4,3,DAZ interacting zinc finger protein 1 like
EME2,4,4,3,essential meiotic structure-specific endonuclease subunit 2
ENDOV,4,4,3,endonuclease V
EOLA2,4,4,3,endothelium and lymphocyte associated ASCH domain 2
ERBB2,4,4,3,erb-b2 receptor tyrosine kinase 2
ERGIC1,4,4,3,endoplasmic reticulum-golgi intermediate compartment 1
ERICH1,4,4,3,glutamate rich 1
EVC,4,4,3,EvC ciliary complex subunit 1
FAM217A,4,4,3,family with sequence similarity 217 member A
FAM47E,4,4,3,family with sequence similarity 47 member E
FAM53A,4,4,3,family with sequence similarity 53 member A
FARS2,4,4,3,phenylalanyl-tRNA synthetase 2%2C mitochondrial
FASN,4,4,3,fatty acid synthase
FBN3,4,4,3,fibrillin 3
FBXO34,4,4,3,F-box protein 34
FBXW12,4,4,3,F-box and WD repeat domain containing 12
FDXR,4,4,3,ferredoxin reductase
FGL1,4,4,3,fibrinogen like 1
FLG,4,4,3,filaggrin
FMR1,4,4,3,fragile X messenger ribonucleoprotein 1
FRYL,4,4,3,FRY like transcription coactivator
FTHL17,4,4,3,ferritin heavy chain like 17
GALK2,4,4,3,galactokinase 2
GALNTL5,4,4,3,polypeptide N-acetylgalactosaminyltransferase like 5
GCFC2,4,4,3,GC-rich sequence DNA-binding factor 2
GGT6,4,4,3,gamma-glutamyltransferase 6
GJB4,4,4,3,gap junction protein beta 4
GLIPR1L1,4,4,3,GLIPR1 like 1
GML,4,4,3,glycosylphosphatidylinositol anchored molecule like
GOLGA4,4,4,3,golgin A4
GPAT2,4,4,3,glycerol-3-phosphate acyltransferase 2%2C mitochondrial
GRAMD1A,4,4,3,GRAM domain containing 1A
GREB1,4,4,3,growth regulating estrogen receptor binding 1
GRIN3B,4,4,3,glutamate ionotropic receptor NMDA type subunit 3B
GRK4,4,4,3,G protein-coupled receptor kinase 4
GSDMC,4,4,3,gasdermin C
GZMH,4,4,3,granzyme H
HEATR6,4,4,3,HEAT repeat containing 6
HERC6,4,4,3,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
HMCN2,4,4,3,hemicentin 2
HS1BP3,4,4,3,HCLS1 binding protein 3
IFT140,4,4,3,intraflagellar transport 140
IL19,4,4,3,interleukin 19
IRF3,4,4,3,interferon regulatory factor 3
IRF5,4,4,3,interferon regulatory factor 5
KATNAL2,4,4,3,katanin catalytic subunit A1 like 2
KIAA0586,4,4,3,KIAA0586
KIFC3,4,4,3,kinesin family member C3
KIZ,4,4,3,kizuna centrosomal protein
KLK14,4,4,3,kallikrein related peptidase 14
KRT40,4,4,3,keratin 40
L3MBTL4,4,4,3,L3MBTL histone methyl-lysine binding protein 4
LMO7,4,4,3,LIM domain 7
LRRC9,4,4,3,leucine rich repeat containing 9
LRRIQ3,4,4,3,leucine rich repeats and IQ motif containing 3
LYST,4,4,3,lysosomal trafficking regulator
MADD,4,4,3,MAP kinase activating death domain
MAGEE2,4,4,3,MAGE family member E2
MARCHF7,4,4,3,membrane associated ring-CH-type finger 7
MELTF,4,4,3,melanotransferrin
MFHAS1,4,4,3,multifunctional ROCO family signaling regulator 1
MICAL1,4,4,3,microtubule associated monooxygenase%2C calponin and LIM domain containing 1
MICU3,4,4,3,mitochondrial calcium uptake family member 3
MINDY4B,4,4,3,MINDY family member 4B
MIOX,4,4,3,myo-inositol oxygenase
MITD1,4,4,3,microtubule interacting and trafficking domain containing 1
MOK,4,4,3,MOK protein kinase
MPDZ,4,4,3,multiple PDZ domain crumbs cell polarity complex component
MRGPRX3,4,4,3,MAS related GPR family member X3
MROH2B,4,4,3,maestro heat like repeat family member 2B
MROH6,4,4,3,maestro heat like repeat family member 6
MRPL4,4,4,3,mitochondrial ribosomal protein L4
MSLN,4,4,3,mesothelin
MSR1,4,4,3,macrophage scavenger receptor 1
MTARC1,4,4,3,mitochondrial amidoxime reducing component 1
MUC19,4,4,3,mucin 19%2C oligomeric
MUC2,4,4,3,mucin 2%2C oligomeric mucus/gel-forming
MUC5B,4,4,3,mucin 5B%2C oligomeric mucus/gel-forming
