gene	description	Western	Western x Central	Central	Eastern
LOC112205119	U7 small nuclear RNA	1	1	1	1
BRAP	BRCA1 associated protein	1	1	1	1
ACAD10	acyl-CoA dehydrogenase family member 10	3	3	3	1
ALDH2	aldehyde dehydrogenase 2 family member	3	3	1	1
LOC134807457	uncharacterized LOC134807457	1	1	1	1
LOC737952	putative uncharacterized protein encoded by MAPKAPK5-AS1	1	1	2	1
MAPKAPK5	MAPK activated protein kinase 5	2	2	2	1
TMEM116	transmembrane protein 116	3	3	2	1
LOC452254	disintegrin and metalloproteinase domain-containing protein 1-like	3	3	3	1
LOC452255	disintegrin and metalloproteinase domain-containing protein 1-like	3	3	3	3
LOC738404	immediate early response 3-interacting protein 1-like	1	1	1	1
ERP29	endoplasmic reticulum protein 29	2	1	3	1
NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit	2	2	3	2
TRAFD1	TRAF-type zinc finger domain containing 1	2	3	4	3
GALNT8	polypeptide N-acetylgalactosaminyltransferase 8	3	3	3	3
HECTD4	HECT domain E3 ubiquitin protein ligase 4	3	3	3	2
LOC129136556	large ribosomal subunit protein eL8	1	1	2	1
RPL6	ribosomal protein L6	1	1	1	1
PTPN11	protein tyrosine phosphatase non-receptor type 11	2	2	2	2
RPH3A	rabphilin 3A	3	2	2	2
MIR1302-1	microRNA mir-1302-1	1	1	1	1
OAS1	2'-5'-oligoadenylate synthetase 1	3	1	3	4
OAS3	2'-5'-oligoadenylate synthetase 3	3	3	3	3
OAS2	2'-5'-oligoadenylate synthetase 2	3	3	3	1
KCNA6	potassium voltage-gated channel subfamily A member 6	3	3	3	3
LOC134807458	uncharacterized LOC134807458	1	1	1	1
DTX1	deltex E3 ubiquitin ligase 1	3	2	2	1
RASAL1	RAS protein activator like 1	4	3	3	3
CFAP73	cilia and flagella associated protein 73	2	3	3	2
DDX54	DEAD-box helicase 54	3	4	3	4
RITA1	RBPJ interacting and tubulin associated 1	3	3	3	3
IQCD	IQ motif containing D	3	3	3	3
TPCN1	two pore segment channel 1	3	3	4	2
SLC8B1	solute carrier family 8 member B1	3	3	3	2
PLBD2	phospholipase B domain containing 2	1	1	1	3
SDS	serine dehydratase	1	3	2	3
SDSL	serine dehydratase like	2	2	2	3
LHX5	LIM homeobox 5	3	2	2	2
LOC134807438	uncharacterized LOC134807438	4	1	2	2
LOC107967645	uncharacterized LOC107967645	1	1	1	1
LOC100612405	uncharacterized LOC100612405	2	2	2	1
LOC107967646	uncharacterized LOC107967646	1	1	1	1
RBM19	RNA binding motif protein 19	3	3	3	2
KCNA1	potassium voltage-gated channel subfamily A member 1	2	2	1	1
LOC134807511	uncharacterized LOC134807511	1	1	1	1
LOC107967647	uncharacterized LOC107967647	1	2	2	2
LOC129136561	uncharacterized LOC129136561	1	1	1	1
LOC129136562	uncharacterized LOC129136562	1	1	1	1
TBX5	T-box transcription factor 5	2	3	2	2
LOC134807512	uncharacterized LOC134807512	1	1	1	1
LOC107967796	uncharacterized LOC107967796	1	1	1	1
TBX3	T-box transcription factor 3	1	2	3	2
LOC112205148	small nucleolar RNA SNORA27	1	1	1	1
LOC112205016	uncharacterized LOC112205016	1	1	2	1
LOC107967797	uncharacterized LOC107967797	2	2	2	2
LOC747416	uncharacterized LOC747416	1	2	2	2
LOC134807439	uncharacterized LOC134807439	1	1	1	2
LOC107967800	uncharacterized LOC107967800	1	1	1	1
LOC134807513	uncharacterized LOC134807513	2	2	1	1
LOC104001703	uncharacterized LOC104001703	1	1	1	1
KCNA5	potassium voltage-gated channel subfamily A member 5	3	3	3	2
LOC107967649	uncharacterized LOC107967649	2	2	1	1
LOC112205139	small nucleolar RNA SNORD56	1	1	1	1
MED13L	mediator complex subunit 13L	3	2	2	2
LOC112205077	U6 spliceosomal RNA	1	1	1	1
LOC134807514	uncharacterized LOC134807514	1	1	1	1
LOC134807515	uncharacterized LOC134807515	1	1	1	1
LOC129136685	uncharacterized LOC129136685	2	2	1	1
MAP1LC3B2	microtubule associated protein 1 light chain 3 beta 2	3	3	2	1
LOC134807517	uncharacterized LOC134807517	1	1	2	1
SPRING1	SREBF pathway regulator in golgi 1	3	3	2	3
RNFT2	ring finger protein, transmembrane 2	3	2	3	2
LOC112205067	U6 spliceosomal RNA	1	1	1	1
HRK	harakiri, BCL2 interacting protein	3	2	3	1
FBXW8	F-box and WD repeat domain containing 8	2	3	3	3
LOC107967652	uncharacterized LOC107967652	1	1	1	1
TESC	tescalcin	1	2	1	1
LOC107967653	uncharacterized LOC107967653	1	4	1	1
FBXO21	F-box protein 21	3	3	3	1
NOS1	nitric oxide synthase 1	3	3	3	3
LOC104001418	uncharacterized LOC104001418	1	2	2	2
KSR2	kinase suppressor of ras 2	3	2	2	2
RFC5	replication factor C subunit 5	3	2	1	3
WSB2	WD repeat and SOCS box containing 2	2	2	2	2
VSIG10	V-set and immunoglobulin domain containing 10	3	3	3	3
PEBP1	phosphatidylethanolamine binding protein 1	3	3	3	1
TAOK3	TAO kinase 3	3	3	1	2
LOC741340	small ribosomal subunit protein uS5-like	1	3	3	3
LOC134807409	uncharacterized LOC134807409	1	1	2	4
SUDS3	SDS3 homolog, SIN3A corepressor complex component	3	2	2	2
LOC134807410	fibroblast growth factor-binding protein 3-like	4	4	4	4
LOC129136688	uncharacterized LOC129136688	1	1	1	1
LOC134807440	uncharacterized LOC134807440	1	1	2	2
LOC107967803	uncharacterized LOC107967803	2	1	1	1
LOC112205147	small nucleolar RNA SNORA38	1	1	1	1
LOC107967804	uncharacterized LOC107967804	1	2	1	1
LOC129136689	uncharacterized LOC129136689	1	1	1	1
SRRM4	serine/arginine repetitive matrix 4	3	3	2	3
HSPB8	heat shock protein family B (small) member 8	3	1	1	1
LOC107967657	uncharacterized LOC107967657	1	1	2	1
LOC104001709	uncharacterized LOC104001709	2	2	2	2
LOC104001710	uncharacterized LOC104001710	2	2	1	1
CCDC60	coiled-coil domain containing 60	3	3	3	3
TMEM233	transmembrane protein 233	2	2	4	2
PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	2	2	1	2
