genes,genes_renamed,descriptions,num_populations,is_shared,Central,Western,Eastern
LOC104006679,LOC104006679,uncharacterized LOC104006679,1,No,NA,13.64017439,NA
AJAP1,AJAP1,adherens junctions associated protein 1,1,No,NA,13.64694787,NA
SNTG2,SNTG2,syntrophin gamma 2,1,No,NA,13.77357738,NA
ANKLE2,ANKLE2,ankyrin repeat and LEM domain containing 2,1,No,NA,13.96398885,NA
TTLL8,TTLL8,tubulin tyrosine ligase like 8,1,No,NA,14.25729426,NA
PRAG1,PRAG1,PEAK1 related%2C kinase-activating pseudokinase 1,1,No,NA,14.39784277,NA
ADAMTS2,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,1,No,NA,15.02820507,NA
LOC104003467,OR1L4 ,olfactory receptor 1L4-like,1,No,NA,15.19941128,NA
LOC107967993,LOC107967993,uncharacterized LOC107967993,1,No,NA,15.46673051,NA
SLC6A12,SLC6A12,solute carrier family 6 member 12,1,No,NA,15.52776541,NA
LOC112206412,LOC112206412,uncharacterized LOC112206412,1,No,NA,18.70435147,NA
SFSWAP,SFSWAP,splicing factor SWAP,1,No,24.2700617,NA,NA
KIR2DL1,KIR2DL1,killer cell immunoglobulin-like receptor,1,No,21.60345095,NA,NA
LOC104004850,LOC104004850,uncharacterized LOC104004850,1,No,21.18164602,NA,NA
PATR-C,HLA-C,major histocompatibility complex%2C class I%2C C,1,No,20.06876256,NA,NA
TRAPPC9,TRAPPC9,trafficking protein particle complex subunit 9,1,No,18.9533759,NA,NA
IFT140,IFT140,intraflagellar transport 140,1,No,17.78874259,NA,NA
LOC107968934,LOC107968934,uncharacterized LOC107968934,1,No,17.74736596,NA,NA
LOC134807527,LOC134807527,uncharacterized LOC134807527,1,No,17.55422936,NA,NA
GYPB,GYPB,glycophorin B (MNS blood group),1,No,17.40441849,NA,NA
LOC134806971,IGHV4-30-4,immunoglobulin heavy variable 4-30-4-like,1,No,17.36144001,NA,NA
LOC100610904,HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,1,No,17.35836473,NA,NA
LOC129144382,PLA2G4B,cytosolic phospholipase A2 beta-like,1,No,17.15103787,NA,NA
LOC112209743,LOC112209743,uncharacterized LOC112209743,1,No,17.04236834,NA,NA
MYOM2,MYOM2,myomesin 2,1,No,17.00557378,NA,NA
LOC100615916,LOC100615916,uncharacterized LOC100615916,1,No,16.87061369,NA,NA
LOC104007162,LOC104007162,uncharacterized LOC104007162,1,No,16.86512168,NA,NA
KIF1A,KIF1A,kinesin family member 1A,1,No,16.82056853,NA,NA
LILRB3,LILRB3,leukocyte immunoglobulin like receptor B3,1,No,16.76486981,NA,NA
LOC112205050,LOC112205050,uncharacterized LOC112205050,1,No,16.6541999,NA,NA
LOC129137552,LOC129137552,uncharacterized LOC129137552,1,No,16.61895687,NA,NA
UNC5A,UNC5A,unc-5 netrin receptor A,1,No,16.54711866,NA,NA
SGCZ,SGCZ,sarcoglycan zeta,1,No,16.44053408,NA,NA
